oa_code,All people,Very good health,Good health,Fair health,Bad health,Very bad health
S00089263,92,52,31,5,4,-
S00089264,139,98,34,7,-,-
S00089265,84,49,27,6,2,-
S00089266,100,63,28,6,3,-
S00089267,79,51,24,4,-,-
S00089268,113,67,44,1,1,-
S00089269,101,56,41,4,-,-
S00089270,120,74,38,7,1,-
S00089271,90,58,27,4,1,-
S00089272,69,44,20,3,1,1
S00089273,101,57,36,6,2,-
S00089274,129,83,39,7,-,-
S00089275,64,2,19,31,12,-
S00089276,59,30,19,4,6,-
S00089277,177,103,47,23,1,3
S00089278,66,4,24,28,10,-
S00089279,67,51,16,-,-,-
S00089280,59,29,20,8,-,2
S00089281,75,49,21,3,2,-
S00089282,69,45,18,4,2,-
S00089283,54,25,20,7,2,-
S00089284,105,50,36,15,2,2
S00089285,128,83,37,5,3,-
S00089286,106,63,35,6,1,1
S00089287,87,14,44,24,5,-
S00089288,151,74,54,16,5,2
S00089289,124,48,43,25,2,6
S00089290,69,38,17,11,2,1
S00089291,99,57,28,11,3,-
S00089292,90,49,32,9,-,-
S00089293,153,89,40,19,4,1
S00089294,148,92,45,9,2,-
S00089295,190,95,62,26,5,2
S00089296,161,78,60,15,5,3
S00089297,93,39,39,11,4,-
S00089298,98,51,26,12,5,4
S00089299,64,22,21,14,4,3
S00089300,99,46,38,12,3,-
S00089301,116,53,46,15,1,1
S00089302,104,54,40,9,1,-
S00089303,167,70,65,19,9,4
S00089304,159,81,59,13,5,1
S00089305,71,20,23,17,9,2
S00089306,141,58,35,28,15,5
S00089307,88,32,34,15,5,2
S00089308,77,41,26,6,3,1
S00089309,148,66,61,18,2,1
S00089310,171,95,46,25,4,1
S00089311,101,34,41,23,2,1
S00089312,164,96,53,13,2,-
S00089313,150,74,52,19,5,-
S00089314,125,80,35,6,3,1
S00089315,108,61,31,14,2,-
S00089316,106,64,30,10,1,1
S00089317,94,66,22,6,-,-
S00089318,107,68,26,11,2,-
S00089319,134,63,60,8,2,1
S00089320,125,76,40,7,2,-
S00089321,85,46,28,10,1,-
S00089322,124,60,47,12,4,1
S00089323,83,44,26,8,5,-
S00089324,94,43,41,8,2,-
S00089325,102,66,30,6,-,-
S00089326,130,76,40,14,-,-
S00089327,108,58,39,10,1,-
S00089328,111,59,39,9,2,2
S00089329,95,55,29,6,3,2
S00089330,151,105,34,9,2,1
S00089331,168,94,57,14,3,-
S00089332,172,109,48,13,1,1
S00089333,176,95,66,12,3,-
S00089334,150,96,34,16,3,1
S00089335,144,99,35,10,-,-
S00089336,93,56,31,6,-,-
S00089337,57,15,33,5,4,-
S00089338,156,74,57,21,4,-
S00089339,150,80,59,8,2,1
S00089340,125,65,33,20,6,1
S00089341,77,40,24,9,4,-
S00089342,75,13,26,28,6,2
S00089343,71,41,23,5,2,-
S00089344,70,36,20,11,3,-
S00089345,98,56,33,5,4,-
S00089346,145,100,32,11,2,-
S00089347,108,66,31,9,1,1
S00089348,92,45,38,8,1,-
S00089349,97,53,34,8,-,2
S00089350,123,77,34,7,5,-
S00089351,175,106,56,10,3,-
S00089352,158,88,49,15,5,1
S00089353,111,61,36,12,1,1
