oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S00093272,97,20,18,6,-,-,-,-,-,-,47,6
S00093273,104,34,3,5,-,-,-,-,-,-,56,6
S00093274,104,43,7,13,-,3,-,-,-,1,32,5
S00093275,79,29,3,3,-,-,-,-,-,-,39,5
S00093276,125,15,17,5,-,1,-,1,-,-,74,12
S00093277,68,39,-,8,-,-,-,-,-,-,19,2
S00093278,54,23,2,1,-,-,-,-,-,1,24,3
S00093279,118,27,9,4,-,2,-,-,-,-,72,4
S00093280,64,35,4,3,-,-,-,-,-,-,20,2
S00093281,110,27,17,5,-,-,-,8,-,1,48,4
S00093282,100,31,3,6,-,-,-,-,-,2,48,10
S00093283,100,38,13,4,-,1,-,-,-,-,39,5
S00093284,89,15,5,-,-,-,-,-,-,-,55,14
S00093285,104,30,14,11,-,-,-,-,-,-,33,16
S00093286,94,25,12,6,-,-,-,-,-,-,48,3
S00093287,94,29,2,8,-,-,-,-,-,-,51,4
S00093288,77,8,17,2,5,-,-,2,-,-,42,1
S00093289,89,39,2,8,-,-,-,-,-,-,35,5
S00093290,127,67,4,2,-,-,-,3,-,-,47,4
S00093291,99,25,8,6,-,-,-,-,-,-,53,7
S00093292,108,19,10,2,1,-,-,-,-,-,60,16
S00093293,107,24,5,2,-,-,-,-,-,-,62,14
S00093294,93,13,8,3,-,-,-,-,-,1,62,6
S00093295,154,23,7,3,-,-,-,-,-,1,110,10
S00093296,99,22,1,4,-,-,-,-,-,2,65,5
S00093297,130,25,11,-,-,-,-,-,-,-,87,7
S00093298,166,63,4,9,-,-,-,-,-,1,78,11
S00093299,148,58,4,5,-,-,-,4,-,1,65,11
S00093300,126,26,8,7,-,-,-,-,-,-,78,7
S00093301,106,41,3,8,-,-,-,-,-,-,47,7
S00093302,143,35,6,5,-,-,-,1,-,-,83,13
S00093303,183,47,8,21,-,1,-,-,-,1,100,5
S00093304,72,14,4,5,-,-,-,-,-,-,45,4
S00093305,97,12,14,-,-,-,-,1,-,-,70,-
S00093306,142,40,7,3,-,-,-,-,-,1,79,12
S00093307,126,68,3,2,-,-,-,-,-,-,25,28
S00093308,119,78,2,2,-,-,-,-,-,-,23,14
S00093309,97,49,6,6,-,-,-,-,-,-,33,3
S00093310,151,67,11,5,-,-,-,-,-,1,54,13
S00093311,124,48,8,6,-,-,-,-,-,-,51,11
S00093312,105,46,6,7,-,-,-,1,-,-,38,7
S00093313,107,38,7,6,-,-,-,-,-,-,47,9
S00093314,128,54,3,6,1,-,-,-,-,-,58,6
S00093315,120,46,17,8,-,-,-,-,-,-,42,7
S00093316,109,62,6,4,-,-,-,1,-,-,36,-
S00093317,98,50,10,4,-,-,-,-,-,1,30,3
S00093318,86,45,3,6,-,-,-,-,-,-,31,1
S00093319,85,58,2,1,-,-,-,-,-,-,13,11
S00093320,123,23,16,5,-,-,-,-,-,-,64,15
S00093321,95,37,2,14,-,-,-,-,-,-,36,6
S00093322,121,59,2,4,-,-,-,-,-,-,50,6
S00093323,131,48,11,10,-,-,-,-,-,1,54,7
S00093324,109,35,3,6,-,-,-,-,-,-,61,4
S00093325,94,36,5,2,-,-,-,2,-,-,47,2
S00093326,115,37,7,5,-,-,-,-,1,-,57,8
S00093327,106,35,9,8,-,-,-,-,-,-,48,6
S00093328,132,59,12,1,-,-,-,-,-,-,48,12
S00093329,125,53,6,4,-,-,-,-,-,-,51,11
S00093330,111,34,7,2,-,-,-,-,-,-,61,7
S00093331,93,25,3,1,-,-,-,-,-,-,62,2
S00093332,156,90,5,6,-,-,-,-,-,-,51,4
S00093333,125,52,9,8,-,-,-,-,-,-,50,6
S00093334,221,127,5,4,-,-,-,-,-,1,69,15
S00093335,164,43,5,-,-,-,-,-,-,-,110,6
S00093336,121,28,5,-,-,-,-,1,-,-,73,14
S00093337,98,33,6,5,1,-,-,-,-,1,47,5
S00093338,77,37,3,1,-,-,-,-,-,-,33,3
S00093339,152,72,7,10,-,-,-,2,-,-,55,6
S00093340,80,22,8,2,-,-,-,-,-,1,42,5
S00093341,59,31,4,-,-,-,-,-,-,-,21,3
S00093342,157,42,11,4,-,-,-,1,-,-,95,4
S00093343,65,50,-,4,-,-,-,-,-,-,11,-
S00093344,158,58,14,14,1,-,-,-,-,1,53,17
S00093345,104,59,3,2,-,-,-,-,-,-,31,9
S00093346,94,59,2,4,-,-,-,-,-,3,26,-
S00093347,58,26,1,2,-,-,-,-,-,-,26,3
S00093348,73,40,2,3,-,-,-,-,-,-,22,6
S00093349,158,87,7,12,1,-,-,-,-,1,41,9
S00093350,121,49,4,5,-,-,-,-,-,-,52,11
S00093351,100,39,6,7,-,-,-,-,-,-,46,2
S00093352,84,18,3,1,-,-,1,-,-,-,57,4
S00093353,121,59,3,6,-,-,-,-,-,-,48,5
S00093354,89,42,3,4,-,-,-,-,-,1,33,6
S00093355,134,60,14,13,-,-,-,-,-,-,37,10
S00093356,83,28,6,6,-,-,-,-,-,-,39,4
S00093357,109,28,13,3,-,-,-,-,-,1,59,5
S00093358,103,31,5,5,-,-,-,-,-,-,50,12
S00093359,89,45,1,-,1,-,-,-,-,-,40,2
S00093360,93,44,3,1,-,-,-,-,-,-,41,4
S00093361,103,51,3,1,-,-,-,-,-,-,39,9
S00093362,138,42,10,5,-,-,-,-,-,-,60,21
S00093363,92,27,6,9,-,-,-,-,-,-,49,1
S00093364,65,19,4,1,-,-,-,-,-,-,39,2
S00093365,100,42,4,1,-,-,-,-,-,-,43,10
S00093366,150,47,12,3,1,-,-,-,-,-,81,6
S00093367,57,28,7,3,-,-,-,-,-,-,17,2
S00093368,107,31,17,9,-,-,-,3,-,-,41,6
S00093369,63,25,4,1,-,-,-,-,-,-,30,3
S00093370,118,38,5,6,1,-,-,-,-,-,52,16
S00093371,90,38,2,3,-,-,-,-,-,-,46,1
S00093372,112,32,7,5,-,-,-,-,-,1,62,5
S00093373,53,29,1,1,-,-,-,-,-,-,18,4
S00093374,200,75,21,15,-,-,-,-,-,2,80,7
S00093375,142,61,5,13,-,-,-,-,-,-,62,1
S00093376,215,95,4,3,-,-,-,-,-,1,104,8
S00093377,184,66,18,9,-,-,-,1,-,2,78,10
S00093378,85,47,-,8,-,-,-,-,-,-,26,4
S00093379,70,10,1,-,-,-,-,1,-,1,56,1
S00093380,101,25,5,2,-,-,-,-,-,1,63,5
S00093381,110,50,9,4,1,-,-,1,-,1,35,9
S00093382,104,14,9,1,-,-,-,-,-,-,76,4
S00093383,77,20,5,5,-,-,-,-,-,-,43,4
S00093384,117,30,6,12,2,-,-,-,-,1,61,5
S00093385,118,43,5,4,-,-,-,-,-,1,59,6
S00093386,104,57,3,3,-,-,-,-,-,1,29,11
S00093387,78,38,2,3,-,-,-,-,-,-,29,6
S00093388,135,52,8,1,1,-,-,-,-,-,63,10
S00093389,84,51,3,2,-,-,-,-,-,-,27,1
S00093390,88,43,-,6,-,-,-,-,-,-,33,6
S00093391,157,78,15,4,2,-,-,-,-,-,46,12
S00093392,153,77,8,7,-,-,-,-,-,-,54,7
S00093393,111,25,6,5,-,-,-,-,-,1,64,10
S00093394,108,43,19,1,-,-,-,-,-,-,39,6
S00093395,133,38,4,6,-,-,-,-,-,1,66,18
S00093396,96,35,5,2,-,-,-,-,-,1,47,6
S00093397,157,59,11,12,-,-,-,-,-,-,66,9
S00093398,109,43,8,5,3,2,-,-,-,-,38,10
S00093399,110,45,2,2,1,-,-,-,-,-,52,8
S00093400,87,19,11,1,-,-,-,3,-,-,49,4
S00093401,61,18,1,-,-,-,-,-,-,1,35,6
S00093402,119,53,3,-,-,-,-,-,-,1,56,6
S00093403,177,59,7,10,-,-,-,-,-,2,93,6
S00093404,136,44,9,4,-,-,-,-,-,-,78,1
S00093405,149,60,22,5,-,-,-,-,-,2,51,9
S00093406,127,44,4,3,-,-,-,-,-,-,70,6
S00093407,87,14,5,3,-,-,-,-,-,-,62,3
S00093408,57,13,2,6,-,-,-,-,-,-,31,5
S00093409,124,30,9,7,-,-,-,2,-,-,65,11
S00093410,185,42,6,2,-,-,-,5,-,2,105,23
S00093411,79,20,-,8,-,-,-,-,-,-,49,2
S00093412,95,24,4,5,-,-,-,-,-,1,53,8
S00093413,90,28,3,-,-,-,-,-,-,1,57,1
S00093414,83,17,6,1,-,-,-,-,-,-,56,3
S00093415,129,39,5,2,-,-,-,-,-,1,76,6
S00093416,121,28,4,4,-,-,-,-,-,1,77,7
S00093417,70,11,7,-,-,-,-,1,-,-,49,2
S00093418,53,19,-,1,-,-,-,-,-,2,27,4
S00093419,108,34,8,1,-,-,-,-,-,1,61,3
S00093420,221,26,2,4,1,-,-,4,-,2,170,12
S00093421,151,30,7,6,-,-,-,-,-,-,99,9
S00093422,121,37,3,3,-,-,-,-,-,1,70,7
S00093423,109,50,8,9,1,-,-,-,-,-,35,6
S00093424,118,47,5,3,-,-,-,-,-,-,50,13
S00093425,100,57,5,8,-,-,-,-,-,-,23,7
S00093426,137,73,6,4,1,-,-,-,-,-,47,6
S00093427,149,52,17,2,2,-,-,1,-,-,63,12
S00093428,124,64,9,3,2,-,-,-,-,1,35,10
S00093429,114,60,6,-,-,-,-,-,-,1,43,4
S00093430,154,82,11,1,1,-,-,-,-,4,53,2
S00093431,159,79,6,15,-,-,-,-,-,-,44,15
S00093432,70,33,1,2,-,-,-,-,-,-,29,5
S00093433,145,62,13,7,-,-,-,-,-,-,56,7
S00093434,110,57,4,9,-,-,-,4,-,-,28,8
S00093435,100,52,9,8,-,-,-,2,-,-,22,7
S00093436,120,74,-,4,-,-,-,-,-,1,28,13
S00093437,53,19,4,1,-,-,-,-,-,-,28,1
S00093438,99,53,2,3,-,-,-,-,-,-,36,5
S00093439,129,61,5,9,-,-,-,-,-,-,46,8
S00093440,124,57,3,4,-,-,-,-,-,-,53,7
S00093441,77,32,1,-,-,-,-,-,-,1,41,2
S00093442,100,57,4,3,-,-,-,2,-,-,28,6
S00093443,134,69,11,4,-,-,-,-,-,2,44,4
S00093444,85,46,2,2,-,-,-,-,-,1,25,9
S00093445,146,84,4,3,-,-,-,-,-,1,37,17
S00093446,71,51,-,3,-,-,-,-,-,-,16,1
S00093447,106,73,4,7,-,-,-,-,-,-,20,2
S00093448,65,48,-,2,-,-,-,-,-,-,15,-
S00093449,184,106,3,4,-,-,-,4,-,-,49,18
S00093450,69,42,1,4,-,-,-,-,-,-,18,4
S00093451,162,83,13,13,-,-,-,-,-,-,43,10
S00093452,178,58,16,11,-,-,-,-,-,-,78,15
S00093453,138,71,11,3,-,-,-,-,-,-,44,9
S00093454,138,59,4,4,-,-,-,5,-,1,55,10
S00093455,165,97,5,8,-,-,-,-,-,1,45,9
S00093456,107,48,9,6,1,-,-,-,-,-,36,7
S00093457,63,30,2,2,-,-,-,-,-,1,28,-
S00093458,158,49,12,4,-,-,-,-,-,2,84,7
S00093459,154,74,5,7,-,-,-,-,-,-,60,8
S00093460,150,61,6,8,-,-,-,-,-,3,67,5
S00093461,126,48,7,3,-,-,-,-,-,-,64,4
S00093462,104,29,4,5,-,-,-,-,-,-,56,10
S00093463,113,51,7,5,-,-,-,-,-,-,49,1
S00093464,65,31,3,5,-,-,-,-,-,-,23,3
S00093465,97,29,1,4,-,-,-,-,-,-,59,4
S00093466,154,56,12,5,-,-,-,-,-,2,67,12
S00093467,120,36,7,2,2,-,-,-,-,-,67,6
S00093468,81,30,1,-,-,-,-,-,-,-,44,6
S00093469,125,52,6,1,-,-,-,-,-,1,57,8
S00093470,104,55,4,2,-,-,-,-,-,-,30,13
S00093471,198,92,6,3,-,-,-,-,-,-,77,20
S00093472,75,25,12,-,-,-,-,-,-,-,34,4
S00093473,95,44,3,4,-,-,-,-,-,-,41,3
S00093474,190,76,29,2,-,-,-,-,-,2,75,6
S00093475,139,73,1,4,-,-,-,-,-,-,59,2
S00093476,105,29,7,1,-,-,-,-,-,-,55,13
S00093477,94,38,3,11,-,-,-,-,-,-,38,4
S00093478,67,31,1,-,-,-,-,-,-,-,33,2
S00093479,57,22,4,5,-,-,-,-,-,-,25,1
S00093480,74,30,1,4,-,-,-,-,-,-,32,7
S00093481,123,91,2,2,-,-,-,-,-,-,20,8
S00093482,67,42,5,3,-,-,-,-,-,-,14,3
S00093483,138,52,12,8,1,-,-,-,-,-,58,7
S00093484,105,34,10,5,-,-,-,-,-,-,45,11
S00093485,104,45,2,8,-,-,-,-,-,1,44,4
S00093486,95,32,6,3,-,-,-,-,-,-,46,8
S00093487,75,14,9,-,-,-,-,3,-,-,40,9
S00093488,98,48,6,1,-,-,-,-,-,-,36,7
S00093489,136,54,10,9,-,-,-,-,-,-,56,7
S00093490,117,52,2,1,-,-,-,-,-,1,57,4
S00093491,132,84,1,4,-,-,-,-,-,-,35,8
S00093492,129,56,12,-,-,-,-,-,-,-,47,14
S00093493,128,60,3,3,-,-,-,-,-,-,58,4
S00093494,119,75,4,4,-,-,-,-,-,-,29,7
S00093495,115,53,10,-,1,-,-,-,-,-,49,2
S00093496,80,39,10,1,1,-,-,-,-,-,20,9
S00093497,105,54,10,2,-,-,-,4,-,-,26,9
S00093498,121,31,16,-,-,-,-,-,-,-,64,10
S00093499,158,56,8,3,-,-,-,1,-,-,86,4
S00093500,164,51,14,-,-,-,-,-,-,-,86,13
S00093501,91,34,9,4,-,-,-,-,-,-,35,9
S00093502,110,56,8,1,-,-,-,-,-,-,38,7
S00093503,168,97,3,6,-,-,-,-,-,-,57,5
S00093504,114,78,5,2,-,-,-,-,-,-,26,3
S00093505,121,68,12,1,1,-,-,-,-,-,27,12
S00093506,93,51,5,2,-,-,-,-,-,-,30,5
S00093507,138,48,10,10,-,-,-,-,-,1,53,16
S00093508,110,63,4,5,-,-,-,-,-,-,33,5
S00093509,202,70,13,11,-,-,-,-,-,-,51,57
S00093510,86,30,3,12,-,-,-,-,-,1,31,9
S00093511,94,32,8,6,-,-,-,1,-,3,40,4
S00093512,87,19,7,7,-,-,-,-,-,-,48,6
S00093513,91,24,3,7,-,-,-,8,-,-,43,6
S00093514,54,25,5,1,-,-,-,-,-,-,18,5
S00093515,110,37,10,3,-,-,-,-,-,-,54,6
S00093516,77,29,1,3,-,-,-,-,-,-,44,-
S00093517,84,22,13,2,-,-,-,-,-,1,44,2
S00093518,94,34,4,9,-,-,-,-,-,-,40,7
S00093519,55,25,3,-,-,-,-,-,-,-,25,2
S00093520,137,55,13,1,-,-,-,-,-,1,63,4
S00093521,113,61,8,3,-,-,-,-,-,-,30,11
S00093522,89,46,8,2,-,-,-,-,-,1,26,6
S00093523,119,38,4,7,-,-,-,-,-,1,56,13
S00093524,114,76,4,3,-,-,-,-,-,-,26,5
S00093525,100,45,6,4,-,-,-,-,-,-,36,9
S00093526,118,73,3,6,-,-,-,-,-,-,28,8
S00093527,137,69,6,5,-,-,-,-,-,-,51,6
S00093528,101,37,4,4,-,-,-,-,-,-,52,4
S00093529,156,52,10,7,-,-,-,1,-,-,81,5
S00093530,113,47,8,12,-,-,-,4,-,2,34,6
S00093531,108,54,3,4,-,-,-,-,-,2,39,6
S00093532,96,41,4,2,-,-,-,4,-,-,45,-
S00093533,147,79,-,9,-,-,-,1,-,-,49,9
S00093534,107,40,12,11,-,-,-,-,-,-,38,6
S00093535,80,33,7,8,-,-,-,-,-,1,28,3
S00093536,87,30,3,9,-,-,-,1,-,-,32,12
S00093537,89,34,10,-,-,-,-,-,-,-,39,6
S00093538,177,87,6,9,-,2,-,-,-,-,45,28
S00093539,66,34,3,3,-,-,-,-,-,-,18,8
S00093540,115,48,5,11,-,-,-,-,-,-,43,8
S00093541,124,40,4,9,-,-,-,-,-,-,64,7
S00093542,60,38,4,-,1,-,-,-,-,-,13,4
S00093543,106,28,5,5,-,-,-,1,-,1,53,13
S00093544,103,43,6,5,-,-,-,-,-,-,41,8
S00093545,147,72,17,2,-,-,-,1,-,-,47,8
S00093546,102,51,1,6,-,-,-,-,-,-,38,6
S00093547,160,72,8,16,-,-,-,-,-,-,53,11
S00093548,124,34,7,11,-,-,-,-,-,-,64,8
S00093549,120,48,4,12,-,-,-,-,-,1,45,10
S00093550,113,48,12,11,-,-,-,-,-,-,37,5
S00093551,107,46,7,7,-,-,-,-,-,-,38,9
S00093552,172,64,12,17,-,-,-,-,-,3,74,2
S00093553,136,70,9,14,-,-,-,-,-,-,41,2
S00093554,137,66,6,7,1,-,-,4,-,-,37,16
S00093555,65,41,5,4,-,1,-,-,-,-,11,3
S00093556,106,56,6,2,-,-,-,-,-,-,35,7
S00093557,83,29,4,5,-,-,-,-,-,2,35,8
S00093558,112,68,2,11,-,-,-,-,-,-,26,5
S00093559,99,45,9,2,-,-,-,1,-,-,38,4
S00093560,136,57,6,16,-,-,-,-,-,-,54,3
S00093561,85,42,3,2,-,-,-,-,-,1,37,-
S00093562,161,86,6,7,-,-,-,1,-,1,47,13
S00093563,159,55,5,12,-,-,-,1,-,-,76,10
S00093564,121,42,2,2,-,-,-,-,-,2,62,11
S00093565,110,57,1,6,-,-,-,-,-,-,42,4
S00093566,86,39,3,4,-,-,-,-,-,1,34,5
S00093567,167,58,3,7,-,-,-,-,-,-,90,9
S00093568,99,43,2,-,-,-,-,-,-,-,46,8
S00093569,122,44,12,-,-,-,-,-,-,-,59,7
S00093570,105,48,3,2,-,-,-,-,-,-,44,8
S00093571,98,55,2,1,-,-,-,-,-,-,33,7
S00093572,143,45,7,-,-,-,-,4,-,1,74,12
S00093573,82,31,7,3,-,-,-,-,-,-,34,7
S00093574,94,34,6,4,-,-,-,-,-,-,42,8
S00093575,121,61,7,10,-,-,-,-,-,-,32,11
S00093576,81,42,-,3,-,-,-,-,-,-,36,-
S00093577,99,49,1,4,-,-,-,-,-,-,34,11
S00093578,72,25,-,7,-,-,-,-,-,-,33,7
S00093579,81,28,5,10,-,-,-,-,-,1,34,3
S00093580,135,56,11,11,-,-,-,-,-,-,39,18
S00093581,88,35,3,5,-,-,-,-,-,-,43,2
S00093582,126,18,4,-,-,-,-,1,-,-,95,8
S00093583,86,16,2,-,-,-,-,-,-,-,64,4
S00093584,59,13,1,1,-,-,-,-,-,1,41,2
S00093585,75,17,7,-,-,-,-,-,-,-,49,2
S00093586,108,36,3,14,-,-,-,-,-,-,50,5
S00093587,122,30,5,14,-,-,-,1,-,1,57,14
S00093588,94,24,7,5,1,4,-,-,-,-,50,3
S00093589,74,26,2,4,-,-,-,-,-,-,34,8
S00093590,108,27,6,2,-,-,-,-,-,-,68,5
S00093591,133,27,15,7,1,-,-,-,-,1,70,12
S00093592,104,23,4,9,1,-,-,2,-,-,57,8
S00093593,74,40,4,4,-,-,-,1,-,-,22,3
S00093594,148,34,16,6,1,-,-,1,-,-,84,6
S00093595,147,27,12,9,-,-,-,-,-,-,89,10
S00093596,118,20,4,6,2,-,-,-,-,-,84,2
S00093597,125,46,14,5,-,-,-,-,-,1,48,11
S00093598,139,36,5,6,-,-,-,-,-,-,80,12
S00093599,104,45,8,15,1,-,-,-,-,1,28,6
S00093600,65,17,5,10,1,-,-,-,-,-,29,3
S00093601,80,18,1,15,1,1,-,-,-,-,41,3
S00093602,100,36,4,7,-,-,-,1,-,1,42,9
S00093603,68,26,-,1,-,-,-,-,-,1,35,5
S00093604,85,37,4,4,-,-,2,-,-,-,33,5
S00093605,98,32,4,4,-,-,-,-,-,-,55,3
S00093606,63,26,1,-,-,5,-,-,-,-,24,7
S00093607,113,36,9,5,-,-,-,2,-,-,47,14
S00093608,189,123,9,6,-,2,-,-,-,-,34,15
S00093609,78,31,5,3,-,-,-,-,-,-,36,3
S00093610,106,33,8,7,-,-,-,-,-,-,57,1
S00093611,148,61,1,3,-,-,-,1,-,1,69,12
S00093612,111,36,3,11,-,-,-,-,-,-,50,11
S00093613,123,37,3,18,-,-,-,-,-,-,54,11
S00093614,108,49,7,2,-,-,-,-,-,-,40,10
S00093615,109,35,8,5,-,-,-,-,-,-,58,3
S00093616,106,26,6,6,-,-,-,-,-,-,68,-
S00093617,84,17,18,8,-,-,-,-,-,-,31,10
S00093618,102,15,8,5,1,-,-,-,-,2,60,11
S00093619,95,35,6,5,-,-,-,-,-,-,47,2
S00093620,104,42,5,4,-,-,-,-,-,-,46,7
S00093621,129,48,5,1,-,-,-,-,-,1,55,19
S00093622,72,26,4,8,1,-,-,-,-,-,24,9
S00093623,86,39,3,5,1,-,-,-,-,-,31,7
S00093624,67,42,3,1,-,1,-,-,-,-,15,5
S00093625,84,37,9,10,-,-,-,-,-,-,23,5
S00093626,110,47,1,13,-,-,-,1,-,-,41,7
S00093627,83,28,4,1,-,-,2,-,-,1,42,5
S00093628,73,15,-,7,-,-,-,-,-,-,47,4
S00093629,94,25,1,2,-,-,-,-,-,1,62,3
S00093630,143,55,7,4,-,-,-,-,-,-,53,24
S00093631,85,33,5,4,-,-,-,-,-,-,34,9
S00093632,157,59,7,12,-,-,-,-,-,-,61,18
S00093633,164,58,3,8,2,-,-,-,-,-,76,17
S00093634,144,46,12,12,-,-,-,-,-,-,63,11
S00093635,101,24,3,6,3,-,-,-,-,-,59,6
S00093636,128,37,9,16,-,-,-,-,-,-,55,11
S00093637,87,35,4,4,-,-,-,1,-,-,30,13
S00093638,129,47,7,3,-,-,-,-,-,-,65,7
S00093639,115,40,4,-,-,-,-,-,-,-,59,12
S00093640,108,28,8,-,-,-,-,-,-,-,68,4
S00093641,95,45,-,7,-,-,-,-,-,-,31,12
S00093642,104,38,13,8,-,-,-,-,-,-,38,7
S00093643,90,32,12,2,-,-,-,-,-,-,40,4
S00093644,116,32,9,9,-,-,-,-,-,1,61,4
S00093645,153,60,8,10,-,-,-,-,-,-,58,17
S00093646,66,19,-,3,-,-,-,-,-,1,43,-
S00093647,123,43,2,11,-,-,-,-,-,-,56,11
S00093648,133,62,10,6,-,-,-,-,-,1,48,6
S00093649,158,73,6,8,-,-,-,-,-,1,61,9
S00093650,133,75,2,5,-,-,-,-,-,-,39,12
S00093651,156,44,6,9,-,-,-,1,-,-,82,14
S00093652,113,44,9,4,-,-,-,-,-,-,45,11
S00093653,96,41,2,5,-,-,-,4,-,-,43,1
S00093654,126,62,5,5,-,-,-,-,-,-,36,18
S00093655,127,58,5,4,-,-,-,-,-,-,55,5
S00093656,97,48,3,-,-,-,-,-,-,-,42,4
S00093657,170,59,4,6,-,-,-,-,-,3,79,19
S00093658,72,23,5,5,-,-,-,-,-,-,36,3
S00093659,68,25,3,4,-,-,-,-,-,-,32,4
S00093660,86,30,-,2,-,-,-,-,-,1,49,4
S00093661,114,61,4,5,-,-,-,-,-,-,36,8
S00093662,91,22,6,2,-,-,-,-,-,-,53,8
S00093663,200,96,7,16,-,6,-,-,-,1,56,18
S00093664,89,30,3,4,1,-,-,-,-,2,40,9
S00093665,122,69,7,7,-,-,1,-,-,-,28,10
S00093666,106,64,7,8,-,-,-,-,-,-,16,11
S00093667,61,20,3,6,-,-,-,1,-,-,30,1
S00093668,68,24,6,6,-,-,-,-,-,-,30,2
S00093669,84,24,16,2,-,-,1,-,-,-,35,6
S00093670,135,45,10,10,-,-,-,1,-,1,59,9
S00093671,126,51,7,4,-,-,-,-,-,-,59,5
S00093672,116,53,4,3,-,-,-,-,-,-,47,9
S00093673,153,42,14,15,-,-,-,-,-,1,74,7
S00093674,93,21,9,12,-,-,-,-,-,1,44,6
S00093675,99,42,1,1,-,-,-,-,-,-,54,1
S00093676,112,57,5,7,-,-,1,-,-,-,39,3
S00093677,119,51,6,3,-,-,-,-,-,-,48,11
S00093678,134,76,10,8,2,-,-,-,-,-,31,7
S00093679,68,52,2,3,-,-,-,-,-,1,9,1
S00093680,128,67,-,3,-,-,-,-,-,-,54,4
S00093681,139,97,6,8,-,-,-,-,-,1,24,3
S00093682,122,57,4,11,1,-,-,2,-,1,37,9
S00093683,105,66,1,1,-,-,-,-,-,-,33,4
S00093684,127,56,6,4,-,-,-,-,-,1,44,16
S00093685,124,73,8,5,-,-,-,-,-,-,32,6
S00093686,88,55,2,4,-,-,-,-,-,-,26,1
S00093687,105,52,13,1,-,-,-,-,-,-,39,-
S00093688,60,37,1,5,-,-,-,-,-,-,12,5
S00093689,98,29,11,2,-,-,-,-,-,-,51,5
S00093690,139,82,1,7,-,-,-,-,-,-,40,9
S00093691,205,87,3,17,-,-,-,1,-,-,80,17
S00093692,137,67,9,1,-,-,-,-,-,-,51,9
S00093693,92,56,5,-,-,-,-,-,-,-,26,5
S00093694,130,61,1,2,-,-,-,6,-,2,56,2
S00093695,87,44,-,2,-,-,-,-,-,1,38,2
S00093696,147,71,7,3,1,-,-,-,-,-,58,7
S00093697,107,55,7,3,1,3,-,-,-,-,34,4
S00093698,117,39,2,5,-,-,-,-,-,-,55,16
S00093699,108,59,8,4,-,2,-,-,-,-,33,2
S00093700,126,41,26,5,-,-,-,-,-,-,47,7
S00093701,73,24,1,2,-,-,-,5,-,-,30,11
S00093702,76,39,2,3,-,-,-,-,-,-,28,4
S00093703,91,25,7,5,-,-,-,-,-,-,45,9
S00093704,67,13,13,2,-,-,-,-,-,-,33,6
S00093705,183,80,7,8,-,-,-,-,-,-,79,9
S00093706,101,45,3,1,-,-,-,-,-,-,49,3
S00093707,56,18,16,5,-,-,-,-,-,-,14,3
S00093708,95,36,9,2,-,1,-,-,-,-,35,12
S00093709,67,25,4,2,-,-,-,-,-,-,35,1
S00093710,158,27,49,13,-,-,-,-,-,1,54,14
S00093711,100,39,6,4,-,-,-,1,-,-,40,10
S00093712,75,34,5,1,-,-,-,-,-,-,33,2
S00093713,111,52,7,4,-,-,-,-,-,-,45,3
S00093714,174,91,9,4,-,-,-,-,-,1,56,13
S00093715,146,68,6,5,-,-,-,-,-,4,51,12
S00093716,129,58,1,9,-,-,-,-,-,-,45,16
S00093717,93,36,4,4,-,-,-,-,-,-,45,4
S00093718,115,68,3,3,-,-,-,-,-,-,34,7
S00093719,50,18,8,-,-,-,-,-,-,-,19,5
S00093720,82,32,1,7,-,-,-,-,-,-,30,12
S00093721,114,55,1,3,-,-,-,-,-,-,51,4
S00093722,143,61,10,8,-,-,-,-,-,-,55,9
S00093723,95,54,4,3,-,-,-,-,-,-,32,2
S00093724,88,22,9,5,-,-,-,1,-,1,42,8
S00093725,125,51,6,6,-,-,-,-,-,1,52,9
S00093726,103,69,7,1,-,-,-,-,-,-,21,5
S00093727,109,51,2,8,-,-,-,1,-,-,43,4
S00093728,172,70,5,8,1,-,-,3,-,-,53,32
S00093729,124,65,12,10,-,-,-,-,-,-,25,12
S00093730,109,37,7,9,-,-,-,-,-,-,48,8
S00093731,109,52,4,7,-,-,-,-,-,-,37,9
S00093732,97,44,6,-,-,-,-,-,-,-,40,7
S00093733,93,56,2,2,-,-,-,-,-,1,32,-
S00093734,85,43,5,4,-,-,-,3,-,-,27,3
S00093735,100,47,6,3,1,-,-,-,-,-,37,6
S00093736,123,51,5,5,-,-,-,-,-,-,54,8
S00093737,112,41,5,9,-,-,-,6,-,-,40,11
S00093738,54,25,6,2,1,-,-,-,-,-,20,-
S00093739,128,51,5,8,-,-,-,-,-,-,47,17
S00093740,146,58,8,14,-,-,-,-,-,1,57,8
S00093741,177,97,-,6,-,-,-,-,-,1,63,10
S00093742,151,81,4,6,-,-,-,-,-,-,54,6
S00093743,76,32,6,2,-,-,-,-,-,1,31,4
S00093744,130,54,7,5,-,-,-,-,-,-,56,8
S00093745,109,42,4,7,-,-,-,-,-,-,46,10
S00093746,61,35,2,4,-,-,-,-,-,-,13,7
S00093747,157,43,33,13,3,1,-,-,-,-,58,6
S00093748,128,49,10,5,1,-,-,-,-,-,53,10
S00093749,62,26,3,3,-,-,-,-,-,-,21,9
S00093750,52,17,5,2,-,-,-,-,1,-,23,4
S00093751,110,38,1,2,-,-,-,-,-,1,63,5
