oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S00107014,150,17,32,6,1,7,-,2,-,1,73,11
S00107015,136,20,31,11,-,4,-,1,-,2,52,15
S00107016,89,13,7,6,-,-,-,2,-,1,56,4
S00107017,66,12,11,17,-,-,-,6,-,-,18,2
S00107018,144,21,23,10,-,3,3,-,-,-,72,12
S00107019,110,13,16,10,-,-,-,1,-,2,59,9
S00107020,59,6,12,1,-,-,-,-,-,-,37,3
S00107021,80,17,8,3,5,-,-,-,-,-,43,4
S00107022,67,5,5,1,-,-,-,4,-,1,45,6
S00107023,69,9,10,10,-,3,-,1,3,-,31,2
S00107024,52,12,3,6,-,-,1,-,-,-,28,2
S00107025,87,22,5,4,-,-,-,6,-,-,48,2
S00107026,63,16,7,6,-,-,-,-,-,-,30,4
S00107027,121,36,10,5,2,1,-,3,1,-,55,8
S00107028,90,8,18,7,-,-,-,17,1,-,38,1
S00107029,75,12,11,3,-,1,-,-,-,-,44,4
S00107030,88,9,24,7,-,-,-,1,1,-,39,7
S00107031,99,11,19,13,-,1,-,7,-,-,42,6
S00107032,162,18,20,9,-,-,-,9,-,-,94,12
S00107033,88,20,15,9,-,3,-,4,-,-,36,1
S00107034,136,14,31,10,-,1,-,9,-,-,67,4
S00107035,91,7,9,8,-,4,2,-,-,-,48,13
S00107036,74,10,10,11,1,-,-,-,-,-,39,3
S00107037,140,20,21,16,-,-,-,12,-,-,61,10
S00107038,83,13,12,7,-,-,-,-,-,-,47,4
S00107039,84,9,3,8,-,-,-,14,-,1,49,-
S00107040,66,6,11,8,1,-,-,-,-,-,34,6
S00107041,91,11,11,2,-,-,-,7,-,-,47,13
S00107042,78,10,17,11,1,-,-,2,-,1,33,3
S00107043,113,19,19,10,-,-,-,2,-,-,57,6
S00107044,69,10,13,8,-,-,-,2,-,-,30,6
S00107045,95,10,16,10,2,3,-,2,-,3,45,4
S00107046,56,12,10,4,-,2,-,-,-,-,27,1
S00107047,130,9,21,14,1,2,-,6,1,-,69,7
S00107048,134,16,16,12,3,-,-,-,-,-,78,9
S00107049,91,11,12,6,-,-,-,1,-,-,57,4
S00107050,118,22,18,3,-,-,-,1,-,-,72,2
S00107051,132,16,26,7,-,1,-,10,1,1,64,6
S00107052,124,28,18,7,-,10,-,1,5,-,52,3
S00107053,134,17,29,2,-,4,-,9,-,-,68,5
S00107054,60,6,6,8,-,2,-,8,-,-,21,9
S00107055,125,12,11,20,1,1,-,2,-,-,75,3
