oa_code,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
S00106815,37,-,9,1,1,2,-,4,-,-,1,1,-,3,-,15
S00106816,35,5,15,-,1,5,1,-,1,-,6,-,-,-,-,1
S00106817,44,9,14,3,7,3,1,3,-,-,3,1,-,-,-,-
S00106818,43,28,7,5,1,-,-,-,-,-,-,-,-,2,-,-
S00106819,73,3,41,-,9,3,-,7,-,-,5,-,-,1,-,4
S00106820,45,29,12,3,-,-,-,-,-,-,1,-,-,-,-,-
S00106821,47,7,13,3,4,5,5,2,1,-,2,2,-,-,-,3
S00106822,37,6,5,4,8,8,1,1,1,1,1,1,-,-,-,-
S00106823,43,9,2,1,13,8,5,3,1,-,1,-,-,-,-,-
S00106824,62,1,22,3,13,7,4,1,4,-,6,1,-,-,-,-
S00106825,55,-,17,1,3,9,3,8,3,-,4,1,1,-,-,5
S00106826,35,2,16,1,5,2,1,3,-,-,-,3,1,-,-,1
S00106827,45,8,18,-,5,3,3,3,1,-,-,1,1,1,-,1
S00106828,33,7,6,-,4,3,2,2,-,1,6,2,-,-,-,-
S00106829,54,10,7,1,4,3,2,4,1,1,11,6,1,1,-,2
S00106830,31,8,7,6,2,1,-,3,-,-,-,2,-,-,-,2
S00106831,64,11,29,1,5,1,1,-,2,1,3,4,-,4,-,2
S00106832,62,16,21,-,5,5,1,5,1,-,3,1,-,2,-,2
S00106833,51,12,16,1,1,5,1,2,2,-,4,3,1,1,-,2
S00106834,55,5,15,2,4,4,1,6,5,1,4,4,1,-,-,3
S00106835,25,3,5,3,1,2,3,2,2,-,-,2,-,1,-,1
S00106836,54,5,8,3,15,8,3,1,1,-,5,2,1,-,-,2
S00106837,31,5,6,5,3,3,5,-,1,-,-,1,2,-,-,-
S00106838,55,3,30,-,4,4,1,3,1,-,6,2,-,-,1,-
S00106839,64,3,31,-,3,6,-,3,1,-,8,3,2,-,-,4
S00106840,53,-,1,2,17,15,9,4,-,-,2,1,2,-,-,-
S00106841,52,1,6,4,8,14,8,2,3,-,2,1,2,-,-,1
S00106842,51,10,10,2,14,3,1,3,2,-,2,2,-,1,1,-
S00106843,35,6,7,7,3,7,2,1,-,-,1,-,1,-,-,-
S00106844,40,1,30,-,-,1,-,-,2,-,4,-,-,-,-,2
S00106845,46,7,24,-,1,-,1,-,1,1,10,-,-,-,-,1
S00106846,42,-,8,-,7,17,2,4,2,-,-,1,1,-,-,-
S00106847,42,1,15,3,6,8,-,3,5,-,1,-,-,-,-,-
S00106848,27,1,-,2,6,11,2,1,3,-,-,-,-,-,1,-
S00106849,54,2,8,2,10,11,11,4,3,-,2,-,1,-,-,-
S00106850,45,-,18,1,5,3,1,-,2,1,11,2,-,1,-,-
S00106851,51,-,6,4,17,11,2,3,1,-,5,2,-,-,-,-
S00106852,25,5,6,1,2,4,-,-,1,2,4,-,-,-,-,-
S00106853,57,9,7,6,5,11,6,2,2,-,3,2,1,-,1,2
S00106854,49,-,13,1,7,4,-,11,3,-,2,-,-,3,-,5
S00106855,40,1,14,-,2,5,-,3,1,-,11,2,-,-,-,1
S00106856,65,-,27,1,-,1,1,17,2,-,2,-,-,6,-,8
S00106857,53,2,19,-,4,2,-,12,1,-,2,1,-,3,-,7
S00106858,61,-,23,-,7,2,-,17,2,-,1,-,-,-,-,9
S00106859,33,1,12,-,6,2,-,2,3,-,1,1,-,2,-,3
S00106860,67,3,41,-,1,5,1,1,3,-,8,2,1,-,-,1
S00106861,63,1,33,-,1,3,-,-,5,-,12,1,-,-,-,7
S00106862,31,3,4,4,9,7,2,1,-,-,-,1,-,-,-,-
S00106863,59,9,18,1,11,11,1,-,2,1,1,3,1,-,-,-
S00106864,38,3,6,3,4,11,2,3,1,-,1,2,-,-,-,2
S00106865,48,2,6,5,7,15,2,2,1,-,1,-,2,-,-,5
S00106866,42,2,11,3,7,8,6,3,-,-,-,-,1,-,-,1
S00106867,53,5,4,6,8,18,4,4,1,-,1,1,-,-,-,1
S00106868,58,-,3,1,11,33,1,1,4,-,2,-,-,-,-,2
S00106869,34,3,5,1,8,10,2,1,1,-,1,1,-,-,-,1
S00106870,49,3,11,2,3,14,1,5,2,-,7,1,-,-,-,-
S00106871,75,-,39,-,4,2,-,4,-,-,4,1,-,14,-,7
S00106872,37,1,13,-,2,-,-,3,2,-,5,-,-,7,-,4
S00106873,58,2,39,-,2,-,-,6,-,-,-,-,-,4,-,5
S00106874,78,47,16,4,2,-,1,1,-,-,-,-,-,4,1,2
S00106875,55,1,41,-,5,-,-,6,-,-,-,-,-,-,-,2
S00106876,40,2,27,-,3,-,-,7,-,-,-,-,-,-,-,1
S00106877,63,4,34,-,1,2,-,4,-,1,6,-,-,7,-,4
S00106878,45,1,22,2,-,1,-,8,1,-,-,-,-,9,-,1
S00106879,77,5,23,-,1,1,-,7,1,-,2,2,1,23,-,11
S00106880,45,1,10,-,-,1,-,3,-,-,-,-,-,22,-,8
S00106881,46,3,19,-,5,4,1,6,-,-,-,1,-,4,-,3
S00106882,53,5,12,2,3,10,1,9,-,1,-,1,-,2,-,7
S00106883,67,2,17,1,9,6,2,11,1,-,-,1,1,8,-,8
S00106884,66,2,34,1,5,1,-,9,2,-,1,1,1,4,-,5
S00106885,59,3,31,-,2,3,1,12,-,-,-,-,-,2,-,5
S00106886,55,-,20,2,4,4,-,8,-,-,-,1,-,9,-,7
S00106887,38,1,21,-,1,-,-,5,-,-,-,-,-,4,-,6
S00106888,41,2,18,-,3,1,-,3,-,-,-,2,1,3,-,8
S00106889,28,-,12,-,1,-,-,3,1,-,1,1,-,2,-,7
S00106890,59,2,27,1,6,4,-,11,1,-,-,2,1,-,-,4
S00106891,75,29,20,8,1,2,-,7,2,-,1,-,-,-,1,4
S00106892,62,2,33,1,6,3,-,8,3,-,-,-,-,1,-,5
S00106893,72,3,30,1,7,6,-,13,1,-,2,-,1,-,-,8
S00106894,80,4,36,3,9,3,1,11,1,-,1,-,1,3,-,7
S00106895,63,4,41,-,4,1,-,11,-,-,-,-,-,-,-,2
S00106896,39,8,7,3,3,5,-,4,3,-,-,1,1,3,-,1
S00106897,54,5,21,4,12,2,1,1,-,-,1,1,-,4,-,2
S00106898,45,3,15,4,5,1,-,3,-,-,3,3,-,3,-,5
S00106899,34,4,10,3,3,-,-,1,1,-,2,3,-,5,-,2
S00106900,55,20,13,3,2,4,-,4,-,-,-,-,-,1,-,8
S00106901,30,6,5,-,5,4,-,3,-,-,2,1,-,3,-,1
S00106902,75,9,30,5,7,4,1,7,1,-,-,-,-,3,-,8
S00106903,33,4,8,4,4,6,-,1,-,-,5,-,-,1,-,-
S00106904,61,5,22,-,10,3,2,6,-,-,5,1,-,2,-,5
S00106905,46,3,14,-,3,3,-,16,-,-,-,-,1,1,-,5
S00106906,49,5,19,4,5,-,-,8,-,-,-,-,-,3,-,5
S00106907,55,6,20,5,12,1,-,2,-,-,1,-,-,6,-,2
S00106908,91,12,31,11,19,1,-,9,2,-,-,3,-,1,-,2
S00106909,36,2,11,-,3,2,-,2,2,-,1,1,-,3,-,9
S00106910,69,23,17,-,5,1,2,4,-,-,-,2,-,8,-,7
S00106911,74,7,40,-,2,3,-,2,8,1,6,3,2,-,-,-
S00106912,36,2,11,-,4,-,1,4,1,-,4,-,-,1,-,8
S00106913,34,2,2,-,1,2,1,2,2,-,2,-,-,10,-,10
S00106914,35,2,10,-,-,1,-,1,-,-,2,1,-,9,-,9
S00106915,42,1,13,1,4,3,-,4,-,-,1,1,-,2,-,12
S00106916,59,8,24,4,3,-,1,8,-,-,2,1,-,2,1,5
S00106917,58,6,18,-,5,2,-,8,-,-,-,1,1,5,-,12
S00106918,68,-,33,-,4,1,-,16,1,-,-,-,-,8,-,5
S00106919,49,1,23,-,5,3,-,4,1,-,4,1,1,3,-,3
S00106920,66,3,37,1,3,3,-,6,-,-,4,-,-,2,-,7
S00106921,80,4,33,-,8,2,2,14,-,-,2,2,2,3,-,8
S00106922,50,2,20,-,1,4,-,6,-,-,1,-,-,7,-,9
S00106923,56,2,20,-,1,-,1,11,-,-,3,-,-,3,-,15
S00106924,75,2,29,2,2,5,2,3,2,-,5,10,2,5,-,6
S00106925,50,5,6,-,5,4,-,5,1,-,5,2,-,10,-,7
S00106926,41,2,28,-,1,-,-,7,-,-,-,-,-,3,-,-
S00106927,52,8,18,2,3,3,5,1,1,1,3,3,-,-,-,4
S00106928,52,1,15,1,5,2,-,7,-,-,3,-,-,8,-,10
S00106929,31,1,12,-,4,-,1,3,-,-,1,1,1,2,-,5
S00106930,51,4,31,-,3,-,-,2,-,-,-,-,-,5,-,6
S00106931,85,1,36,-,3,3,1,4,-,-,-,-,1,22,-,14
S00106932,58,1,14,-,2,3,-,5,-,-,2,-,-,18,-,13
S00106933,43,10,13,2,1,7,1,3,-,-,-,1,-,-,-,5
S00106934,52,8,17,3,11,1,-,4,-,-,2,-,-,1,-,5
S00106935,48,8,16,-,5,6,1,1,-,-,5,1,-,-,1,4
S00106936,41,9,13,1,1,4,-,3,1,-,4,-,-,1,-,4
S00106937,67,58,-,7,-,1,-,-,-,-,-,-,-,-,1,-
S00106938,36,2,18,-,2,4,-,5,1,-,1,-,-,-,-,3
S00106939,48,4,26,-,4,1,-,10,1,-,-,-,-,-,-,2
S00106940,44,3,14,-,6,5,1,8,1,-,1,-,-,-,-,5
S00106941,31,5,8,-,3,3,-,3,-,-,2,1,-,-,-,6
S00106942,73,28,21,5,2,1,-,9,-,-,1,-,-,-,-,6
S00106943,28,5,3,4,4,6,2,2,-,-,1,-,-,-,-,1
S00106944,55,6,22,-,8,4,2,4,2,-,3,-,-,2,-,2
S00106945,57,5,29,-,5,3,-,10,1,-,-,-,-,1,-,3
S00106946,43,3,16,3,1,8,2,3,2,-,2,-,1,-,-,2
S00106947,52,3,14,5,10,8,2,7,-,-,-,1,1,-,-,1
S00106948,50,4,19,2,8,6,2,5,2,-,2,-,-,-,-,-
S00106949,59,4,16,-,9,7,-,12,3,-,1,-,1,1,-,5
S00106950,32,7,11,-,3,3,1,2,1,-,1,2,1,-,-,-
S00106951,64,10,32,3,4,3,-,2,1,-,2,2,-,2,-,3
S00106952,68,3,42,2,3,4,-,11,-,-,1,-,1,-,-,1
S00106953,59,3,39,-,4,1,-,6,-,-,-,2,-,2,1,1
S00106954,76,17,33,2,7,3,-,3,1,-,3,3,-,-,-,4
S00106955,32,7,10,1,2,2,-,2,-,-,4,1,-,-,-,3
S00106956,43,4,8,6,7,5,2,4,-,-,3,-,1,1,-,2
S00106957,61,9,9,7,7,10,4,2,1,-,7,3,1,-,-,1
S00106958,31,6,4,4,2,8,2,2,-,-,3,-,-,-,-,-
S00106959,53,8,2,8,11,18,3,-,1,-,1,-,1,-,-,-
S00106960,63,10,25,4,6,5,1,3,2,1,2,1,-,1,-,2
S00106961,64,3,29,5,5,4,-,6,1,-,3,2,1,-,-,5
S00106962,74,6,40,-,9,2,2,4,1,-,2,2,-,-,1,5
S00106963,75,5,24,3,8,5,-,13,3,-,2,2,-,2,-,8
S00106964,44,3,17,1,3,3,2,1,-,-,9,4,-,-,-,1
S00106965,54,6,14,1,4,7,2,4,3,-,7,4,1,-,-,1
S00106966,61,5,20,2,3,4,2,1,3,-,13,5,2,-,-,1
S00106967,39,2,11,1,1,3,-,7,2,-,8,1,2,-,-,1
S00106968,59,3,7,2,6,13,2,3,6,1,8,3,2,-,-,3
S00106969,40,1,7,-,2,5,4,-,1,-,10,1,4,-,-,5
S00106970,49,-,4,1,3,5,2,1,3,-,15,4,6,1,-,4
S00106971,59,11,7,2,6,4,5,1,2,-,14,5,1,-,-,1
S00106972,39,1,6,-,5,11,6,-,2,1,1,3,2,-,-,1
S00106973,53,-,18,-,2,7,2,-,1,3,16,-,1,-,-,3
S00106974,52,2,4,1,5,7,5,5,3,2,11,2,1,2,-,2
S00106975,56,2,10,1,5,7,7,5,1,1,13,3,1,-,-,-
S00106976,69,17,21,2,3,7,3,8,-,-,6,2,-,-,-,-
S00106977,54,6,9,9,6,12,1,2,3,-,1,4,-,-,-,1
S00106978,38,8,1,6,3,10,5,3,1,-,-,-,1,-,-,-
S00106979,54,44,-,6,1,1,-,-,-,-,-,-,-,-,2,-
S00106980,53,8,8,3,5,6,8,3,3,-,6,3,-,-,-,-
S00106981,38,2,4,4,4,6,3,1,6,-,4,3,1,-,-,-
S00106982,48,22,18,3,3,1,1,-,-,-,-,-,-,-,-,-
S00106983,44,11,10,7,2,3,1,1,-,-,3,3,-,-,1,2
S00106984,44,4,7,3,6,10,3,4,1,-,-,3,-,-,-,3
S00106985,54,12,23,2,5,3,2,4,-,-,-,1,-,-,-,2
S00106986,59,43,4,-,-,2,-,1,-,-,4,5,-,-,-,-
S00106987,46,6,14,2,5,3,1,1,3,1,6,1,-,-,-,3
S00106988,61,7,35,-,2,5,1,3,-,-,2,4,2,-,-,-
S00106989,25,2,9,-,3,4,1,-,1,-,2,-,-,-,1,2
S00106990,47,27,14,1,2,-,1,-,-,-,-,1,-,-,1,-
S00106991,45,2,19,2,1,2,1,3,4,-,8,1,-,-,1,1
S00106992,67,8,19,4,6,7,-,4,1,1,11,4,-,-,-,2
S00106993,33,3,4,2,4,6,4,4,2,-,-,1,1,-,-,2
S00106994,45,4,12,8,3,4,2,3,1,-,2,4,-,-,-,2
S00106995,85,13,33,8,5,6,4,8,1,1,3,1,-,-,-,2
S00106996,86,19,24,10,14,2,2,6,2,-,1,4,-,-,-,2
S00106997,45,6,23,-,2,1,2,4,-,-,3,1,-,-,-,3
S00106998,37,2,15,1,4,3,1,4,2,-,3,1,-,-,-,1
S00106999,66,26,10,5,5,7,1,3,1,-,1,2,-,-,2,3
S00107000,25,-,3,-,9,5,2,2,-,-,1,-,-,-,-,3
S00107001,53,9,21,4,7,5,-,1,-,-,2,1,2,-,-,1
S00107002,47,5,24,-,2,5,-,-,5,-,5,-,1,-,-,-
S00107003,42,9,18,1,1,6,1,2,-,1,3,-,-,-,-,-
S00107004,60,2,27,3,5,2,1,10,2,-,3,-,-,-,-,5
S00107005,82,6,45,-,2,3,1,6,2,1,4,4,-,2,-,6
S00107006,57,1,25,-,6,4,1,10,2,-,2,-,-,-,-,6
S00107007,26,4,7,2,1,4,1,2,1,-,1,-,1,-,-,2
S00107008,73,5,17,2,7,4,2,2,2,1,18,7,1,1,-,4
S00107009,31,1,15,-,2,-,-,2,-,-,1,-,1,2,-,7
S00107010,49,1,16,-,7,3,-,7,-,-,3,-,1,-,-,11
S00107011,43,4,17,6,8,2,-,2,-,-,2,-,1,-,-,1
S00107012,46,4,33,-,-,1,-,-,1,-,2,3,-,1,-,1
S00107013,65,3,24,-,2,6,-,6,2,-,3,-,1,3,1,14
S00107014,85,6,32,-,5,6,1,15,5,1,1,1,-,1,-,11
S00107015,71,1,29,2,7,6,1,9,4,-,4,1,1,-,-,6
S00107016,50,1,15,1,8,-,-,11,2,-,3,1,-,-,-,8
S00107017,26,1,9,-,2,4,3,1,1,-,2,-,1,-,-,2
S00107018,76,1,26,2,9,7,-,11,1,-,8,-,1,-,-,10
S00107019,71,3,41,-,4,1,1,10,-,-,4,1,-,-,-,6
S00107020,35,-,17,-,4,2,-,6,-,-,1,-,1,-,-,4
S00107021,44,2,19,-,4,5,-,6,2,-,-,-,-,1,-,5
S00107022,42,1,26,-,1,-,1,-,1,-,10,2,-,-,-,-
S00107023,41,1,16,-,10,3,-,6,-,-,1,-,-,2,-,2
S00107024,38,-,25,-,1,-,-,7,-,-,-,-,-,1,-,4
S00107025,46,-,20,2,5,5,-,8,2,-,3,-,-,-,-,1
S00107026,38,1,17,2,4,2,-,6,-,-,1,-,-,-,-,5
S00107027,64,3,17,4,13,6,1,11,2,-,3,1,-,1,-,2
S00107028,42,1,12,-,3,5,-,7,2,-,3,-,1,2,-,6
S00107029,44,3,17,1,2,3,-,11,-,-,1,1,1,-,-,4
S00107030,49,-,23,-,3,3,1,8,-,-,4,-,-,-,-,7
S00107031,47,-,12,-,8,4,-,8,1,-,1,1,1,2,-,9
S00107032,76,2,23,-,6,7,1,8,7,-,6,3,1,-,-,12
S00107033,51,2,20,1,8,-,3,8,-,-,2,1,-,2,-,4
S00107034,65,-,21,1,9,7,1,11,3,-,3,1,2,2,-,4
S00107035,47,2,13,1,8,5,-,9,-,-,1,-,-,-,-,8
S00107036,37,-,12,1,10,4,-,4,-,-,1,-,1,1,-,3
S00107037,77,1,35,3,8,8,1,8,3,-,4,-,-,1,-,5
S00107038,41,6,11,-,2,3,-,1,1,-,13,2,1,-,-,1
S00107039,45,-,18,-,10,2,-,4,-,-,7,-,-,-,-,4
S00107040,37,1,13,1,8,2,2,5,1,-,1,1,-,-,-,2
S00107041,47,1,16,-,5,5,-,8,1,-,3,-,-,1,-,7
S00107042,40,3,13,4,5,6,-,4,1,-,-,-,-,1,-,3
S00107043,58,3,23,2,3,7,-,3,-,-,15,1,-,-,-,1
S00107044,34,2,11,-,3,8,-,3,1,-,2,1,1,-,-,2
S00107045,55,-,20,-,6,3,-,14,-,-,2,-,-,-,-,10
S00107046,33,2,14,-,7,2,-,5,-,-,1,-,-,-,-,2
S00107047,70,1,30,1,9,6,-,10,1,-,2,1,1,-,1,7
S00107048,79,4,28,-,8,1,-,15,3,-,1,-,-,-,-,19
S00107049,48,4,13,4,5,1,-,11,2,-,2,1,1,2,-,2
S00107050,64,7,23,4,1,1,2,1,4,-,17,1,2,-,-,1
S00107051,70,9,22,1,4,6,2,3,1,1,16,3,1,-,-,1
S00107052,66,5,27,1,-,6,-,2,1,-,12,3,1,5,-,3
S00107053,70,8,28,-,1,2,2,2,3,-,19,2,-,1,-,2
S00107054,38,1,23,-,1,2,-,1,-,-,8,1,-,-,-,1
S00107055,73,2,29,-,11,3,-,14,3,-,6,1,1,-,-,3
S00107056,78,1,34,1,6,2,-,13,1,-,5,2,1,-,-,12
S00107057,43,2,22,-,6,1,-,4,2,-,1,-,-,-,-,5
S00107058,58,-,30,1,4,4,-,13,-,-,3,-,-,-,-,3
S00107059,48,-,22,-,5,3,-,9,3,-,1,1,-,-,-,4
S00107060,37,1,8,-,6,3,-,8,-,-,8,2,-,-,-,1
S00107061,76,1,30,1,3,3,2,11,1,-,14,4,-,-,-,6
S00107062,52,-,27,-,2,-,-,8,2,-,3,1,1,-,-,8
S00107063,46,6,9,8,6,3,1,1,2,-,5,4,-,1,-,-
S00107064,39,5,15,1,5,-,-,3,1,-,7,-,-,-,-,2
S00107065,70,5,26,-,9,3,-,6,4,-,2,1,-,3,-,11
S00107066,64,-,14,-,10,5,-,7,-,-,10,1,2,1,-,14
S00107067,46,8,23,2,4,2,1,2,-,-,3,-,-,-,-,1
S00107068,37,-,14,-,4,-,1,10,-,-,2,1,-,-,-,5
S00107069,66,1,28,-,7,1,1,22,-,-,2,1,-,-,-,3
S00107070,55,3,24,-,3,1,-,5,2,1,5,-,-,1,-,10
S00107071,54,1,23,-,7,3,-,8,2,-,4,-,-,-,-,6
S00107072,69,6,28,2,8,5,-,5,1,-,2,3,2,-,-,7
S00107073,30,4,12,2,2,1,1,1,1,1,1,1,1,-,-,2
S00107074,67,1,20,-,9,8,-,18,4,-,-,-,-,-,-,7
S00107075,57,1,14,-,7,6,2,11,3,1,4,-,1,1,-,6
S00107076,83,1,40,1,7,3,-,15,3,-,1,-,1,3,-,8
S00107077,65,3,32,2,2,4,1,4,-,-,11,2,2,-,1,1
S00107078,89,2,39,-,11,5,-,12,4,-,5,-,-,1,-,10
S00107079,39,1,18,1,5,3,-,5,1,-,1,1,1,-,-,2
S00107080,57,-,22,1,7,1,-,10,1,-,3,-,-,-,-,12
S00107081,52,-,14,-,7,1,-,6,2,-,7,-,1,3,-,11
S00107082,95,3,62,-,9,3,1,7,3,-,3,2,-,-,-,2
S00107083,71,2,28,-,9,4,1,14,-,-,2,-,1,1,-,9
S00107084,68,-,30,2,10,7,-,11,1,-,2,1,1,-,-,3
S00107085,54,1,25,-,8,1,2,9,-,-,-,2,1,-,-,5
S00107086,44,1,11,-,10,9,-,4,3,-,-,-,2,-,-,4
S00107087,59,-,20,-,13,4,-,8,2,-,1,1,-,1,-,9
S00107088,73,2,30,1,6,-,-,14,2,-,1,2,1,2,-,12
S00107089,59,11,17,4,2,2,1,8,1,-,4,4,-,-,-,5
S00107090,82,8,29,-,9,5,1,7,-,-,6,1,-,1,-,15
S00107091,32,1,9,1,-,4,1,3,1,-,5,2,-,-,-,5
S00107092,51,5,16,-,1,3,-,11,-,-,4,1,-,2,-,8
S00107093,47,4,18,1,5,2,-,7,2,-,4,1,-,1,-,2
S00107094,55,23,4,11,6,2,-,2,-,-,-,-,1,3,-,3
S00107095,42,2,14,-,1,3,1,6,1,-,1,-,1,3,-,9
S00107096,84,4,15,1,5,14,3,3,5,2,11,6,4,-,-,11
S00107097,60,1,33,-,5,1,2,7,-,-,7,-,-,-,-,4
S00107098,50,4,11,3,8,6,5,2,4,-,-,2,-,1,-,4
S00107099,62,3,25,-,5,2,2,8,-,-,4,-,-,2,-,11
S00107100,51,6,8,4,7,7,1,3,3,-,6,4,1,-,-,1
S00107101,41,3,18,2,3,6,1,5,-,-,-,-,1,-,1,1
S00107102,67,6,18,9,9,7,2,2,1,1,9,-,-,-,-,3
S00107103,53,6,3,5,10,10,7,2,2,-,2,1,-,1,1,3
S00107104,52,3,11,2,8,10,4,6,2,-,-,2,2,1,-,1
S00107105,53,9,9,5,14,6,2,1,2,-,2,-,-,1,-,2
S00107106,48,-,28,2,4,1,1,5,4,-,1,1,-,-,-,1
S00107107,54,3,19,1,7,6,-,5,1,-,2,1,1,1,-,7
S00107108,43,5,14,1,4,-,-,5,-,-,2,1,-,1,-,10
S00107109,35,3,10,1,7,1,-,3,-,-,1,-,-,2,-,7
S00107110,50,2,22,-,1,3,-,-,2,1,13,2,1,1,-,2
S00107111,51,1,13,1,3,4,1,7,1,-,6,-,-,3,-,11
S00107112,46,3,8,3,4,9,5,3,5,-,1,1,-,2,1,1
S00107113,38,5,10,-,4,2,-,7,1,-,-,-,-,-,-,9
S00107114,44,1,11,1,5,6,-,7,2,-,2,1,-,-,-,8
S00107115,46,3,21,-,2,1,1,11,1,-,1,1,-,1,-,3
S00107116,59,1,10,1,9,3,1,12,3,-,2,-,1,3,-,13
S00107117,43,2,18,2,2,3,-,3,-,-,2,-,-,3,-,8
S00107118,34,-,10,-,4,5,-,5,-,-,-,-,-,4,-,6
S00107119,63,2,28,2,7,2,-,4,1,-,1,1,-,8,-,7
S00107120,53,2,22,1,3,4,1,7,1,-,1,-,-,5,-,6
S00107121,31,1,13,1,1,1,-,6,-,-,-,1,-,-,-,7
S00107122,84,1,48,-,4,3,-,8,-,-,1,-,-,7,-,12
S00107123,35,1,13,-,4,-,-,8,1,-,-,-,-,1,-,7
S00107124,42,-,19,-,1,3,1,4,3,-,1,1,-,2,-,7
S00107125,38,1,11,-,2,1,-,7,-,-,-,1,-,4,-,11
S00107126,38,-,10,-,3,-,-,8,2,-,6,1,-,2,-,6
S00107127,57,-,17,-,3,2,-,9,2,-,10,-,1,4,-,9
S00107128,47,-,17,-,5,5,-,7,-,-,-,-,-,4,-,9
S00107129,83,1,19,1,9,5,-,17,3,-,6,2,2,6,-,12
S00107130,65,1,26,-,5,2,-,17,1,-,3,-,-,1,-,9
S00107131,40,-,14,-,7,2,-,4,2,-,2,-,1,-,-,8
S00107132,81,-,18,-,11,3,1,21,1,-,5,1,-,2,-,18
S00107133,37,5,8,1,3,2,-,6,-,-,3,1,1,1,-,6
S00107134,59,1,22,6,4,2,2,5,7,-,1,5,-,-,-,4
S00107135,52,3,14,3,4,5,2,5,-,-,-,-,-,1,-,15
S00107136,27,-,8,1,-,6,2,2,1,-,-,1,3,1,-,2
S00107137,32,2,18,-,3,1,1,1,-,-,-,-,-,1,-,5
S00107138,56,6,18,-,4,2,1,6,1,-,-,1,1,7,-,9
S00107139,68,2,23,1,3,6,-,11,-,-,2,-,-,4,-,16
S00107140,42,-,16,-,2,-,-,4,1,-,1,2,-,4,-,12
S00107141,42,4,13,-,4,6,-,5,-,-,-,-,-,6,-,4
S00107142,43,2,20,-,2,-,2,9,-,-,2,-,2,-,-,4
S00107143,44,1,16,-,4,1,-,8,-,-,2,-,2,3,-,7
S00107144,60,3,35,-,2,1,-,11,-,-,-,-,-,4,-,4
S00107145,43,1,21,-,2,1,1,7,1,-,1,-,1,2,-,5
S00107146,43,2,21,-,6,1,-,5,2,-,1,1,-,-,-,4
S00107147,33,2,14,-,3,1,1,5,-,-,-,1,2,-,-,4
S00107148,83,2,28,4,3,6,1,9,1,-,2,-,-,8,-,19
S00107149,41,2,17,1,1,5,1,6,-,-,2,-,-,1,-,5
S00107150,52,10,33,-,1,-,-,3,2,-,-,-,-,-,-,3
S00107151,38,3,21,1,1,2,-,4,-,-,2,1,-,-,-,3
S00107152,35,2,6,-,2,4,-,4,1,-,-,1,1,6,-,8
S00107153,52,2,31,-,6,1,1,10,-,-,-,-,-,1,-,-
S00107154,46,2,30,1,7,1,-,5,-,-,-,-,-,-,-,-
S00107155,58,1,35,-,3,2,-,8,-,-,2,1,-,-,-,6
S00107156,79,1,49,-,7,2,3,7,3,-,2,-,-,-,-,5
S00107157,70,1,39,1,5,7,-,9,1,-,2,-,-,-,-,5
S00107158,43,1,17,1,3,3,1,5,3,-,1,-,1,-,-,7
S00107159,64,2,42,-,8,1,-,5,-,-,3,-,-,1,-,2
S00107160,77,7,45,-,3,1,-,7,-,-,2,1,-,-,-,11
S00107161,71,7,47,-,3,1,2,4,-,-,3,1,1,-,-,2
S00107162,54,6,22,4,5,1,5,6,1,-,-,-,-,1,-,3
S00107163,64,12,26,3,2,3,1,6,-,-,6,1,-,-,-,4
S00107164,27,4,2,4,4,4,1,3,1,-,-,-,1,-,-,3
S00107165,79,4,22,-,4,9,1,3,3,1,15,1,-,3,1,12
S00107166,30,-,13,-,-,2,-,2,2,-,4,-,-,-,-,7
S00107167,27,2,9,2,-,5,1,1,-,-,4,1,-,-,-,2
S00107168,34,1,13,-,2,1,-,7,-,1,1,1,-,-,-,7
S00107169,59,12,29,1,-,2,3,3,2,-,4,2,-,-,-,1
S00107170,33,6,10,2,4,1,-,1,1,1,6,1,-,-,-,-
S00107171,57,5,16,5,5,5,1,2,2,2,9,2,-,-,-,3
S00107172,36,2,15,-,-,1,3,2,2,-,7,2,1,-,-,1
S00107173,48,7,14,1,5,4,-,2,-,-,4,6,1,-,-,4
S00107174,65,18,19,2,2,5,1,3,-,-,6,4,-,-,-,5
S00107175,74,10,21,1,3,7,2,1,1,-,15,4,-,1,2,6
S00107176,33,2,1,4,6,11,-,1,2,1,4,1,-,-,-,-
S00107177,55,10,25,2,4,-,-,3,-,-,3,3,-,1,-,4
S00107178,25,1,1,5,7,4,2,2,-,-,1,1,-,-,-,1
S00107179,62,28,15,2,4,-,1,3,3,-,2,1,-,-,-,3
S00107180,73,8,35,1,5,6,1,5,3,-,3,2,-,-,-,4
S00107181,36,8,10,1,3,1,2,-,2,-,5,3,-,-,-,1
S00107182,51,1,12,-,5,18,4,2,3,-,4,2,-,-,-,-
S00107183,36,10,14,3,2,2,1,-,-,-,1,2,-,-,-,1
S00107184,75,5,15,-,8,6,-,5,5,-,16,2,1,-,-,12
S00107185,65,-,18,-,9,8,-,9,3,-,3,-,2,3,-,10
