oa_code,All households,One person household: Aged 65 and over,One person household: Aged under 65,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: With dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: With dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: With dependent children,One family only: Lone parent: All children non-dependent,Other households: With dependent children,Other households: All full-time students,Other households: All aged 65 and over,Other households: Other
S00089060,38,1,24,-,-,4,-,5,1,-,1,-,-,-,-,2
S00089061,41,2,18,-,3,7,1,5,1,-,-,-,-,2,-,2
S00089062,32,2,17,1,1,2,-,3,-,-,-,1,-,-,-,5
S00089063,48,1,22,-,4,5,1,6,1,-,2,1,-,2,-,3
S00089064,55,2,32,1,4,4,-,6,-,-,1,1,-,-,-,4
S00089065,67,-,48,-,3,2,1,5,2,-,4,-,-,1,-,1
S00089066,39,-,20,2,2,-,-,8,1,-,-,-,2,2,-,2
S00089067,52,1,22,-,2,2,1,3,1,-,-,-,5,3,-,12
S00089068,42,2,22,1,2,3,1,1,2,-,1,1,-,-,-,6
S00089069,32,2,14,-,-,5,-,8,-,-,-,-,1,-,-,2
S00089070,71,2,30,-,4,5,-,12,1,2,2,3,2,2,-,6
S00089071,57,19,19,-,5,2,2,4,1,-,-,1,2,-,-,2
S00089072,73,3,49,-,3,3,1,3,2,-,1,-,3,2,-,3
S00089073,63,2,39,-,6,1,2,6,1,-,-,1,-,-,-,5
S00089074,75,5,32,2,7,7,3,6,2,-,2,3,3,-,-,3
S00089075,46,1,17,-,4,4,-,7,1,-,4,1,-,1,-,6
S00089076,75,14,33,2,3,3,2,5,1,-,5,3,-,-,-,4
S00089077,55,2,29,-,5,4,-,10,1,-,1,-,1,-,-,2
S00089078,31,11,3,5,2,1,-,3,2,-,1,3,-,-,-,-
S00089079,25,1,2,2,4,2,1,1,2,1,4,3,2,-,-,-
S00089080,42,2,12,-,-,4,-,1,4,-,14,-,-,-,-,5
S00089081,50,17,13,3,5,1,2,6,-,-,1,1,1,-,-,-
S00089082,44,9,10,6,5,5,-,2,1,-,3,2,-,-,-,1
S00089083,53,7,9,1,3,3,6,1,3,2,9,4,-,-,1,4
S00089084,47,9,7,4,8,5,1,2,1,-,8,2,-,-,-,-
S00089085,54,9,7,1,3,6,4,3,1,2,12,3,-,-,-,3
S00089086,38,5,4,2,4,5,9,2,-,1,3,1,1,-,-,1
S00089087,75,7,28,4,5,5,5,8,2,-,7,-,2,1,-,1
S00089088,45,7,13,3,3,3,2,5,2,-,1,3,3,-,-,-
S00089089,55,6,23,2,3,3,3,1,6,2,3,-,2,-,-,1
S00089090,52,7,14,1,3,4,4,5,1,-,5,1,4,-,1,2
S00089091,49,4,2,1,4,12,-,2,3,-,11,8,1,-,-,1
S00089092,53,1,5,2,2,11,1,2,5,-,14,5,-,-,-,5
S00089093,78,5,32,-,7,9,1,4,5,2,7,1,3,-,-,2
S00089094,40,3,12,1,4,6,1,2,1,-,6,2,2,-,-,-
S00089095,51,3,15,-,3,6,2,3,2,-,8,3,5,-,-,1
S00089096,40,2,9,-,3,2,4,1,7,-,9,1,1,-,-,1
S00089097,47,2,20,-,3,3,-,7,1,1,7,3,-,-,-,-
S00089098,34,-,11,-,-,7,1,1,4,-,6,-,-,1,-,3
S00089099,50,1,10,2,4,8,3,2,3,-,9,3,2,-,-,3
S00089100,45,10,5,9,3,8,4,-,-,-,-,2,2,-,-,2
S00089101,41,1,21,-,2,4,-,3,3,-,1,4,-,-,-,2
S00089102,38,3,9,1,2,3,1,2,5,1,8,1,1,-,-,1
S00089103,52,5,21,1,4,4,-,10,2,-,1,1,-,1,-,2
S00089104,42,1,24,1,5,1,3,3,-,1,-,-,1,-,-,2
S00089105,64,6,35,1,4,2,3,7,-,1,2,2,-,-,-,1
S00089106,51,6,21,1,5,4,2,9,-,-,-,-,-,-,-,3
S00089107,43,5,13,3,3,3,1,2,2,1,6,2,-,-,-,2
S00089108,46,4,10,2,5,4,1,6,3,1,7,3,-,-,-,-
S00089109,32,3,15,1,3,5,2,2,1,-,-,-,-,-,-,-
S00089110,60,6,24,6,6,3,1,4,-,-,2,2,3,-,-,3
S00089111,63,4,14,2,8,7,3,8,3,-,6,4,2,-,-,2
S00089112,91,14,42,3,2,5,1,7,2,1,6,3,2,-,-,3
S00089113,47,27,4,12,1,-,-,1,-,-,1,-,-,-,1,-
S00089114,50,3,12,4,1,5,4,3,3,-,12,3,-,-,-,-
S00089115,72,4,25,7,5,8,2,9,4,1,2,-,2,-,-,3
S00089116,68,2,12,-,1,13,2,3,10,-,16,3,5,-,-,1
S00089117,67,2,31,1,4,5,-,1,4,-,13,4,1,-,-,1
S00089118,61,6,9,10,11,9,2,4,1,1,1,3,1,1,-,2
S00089119,42,9,4,7,11,2,2,1,1,2,1,1,1,-,-,-
S00089120,31,3,3,4,5,3,3,2,1,-,1,3,1,-,-,2
S00089121,66,8,28,3,7,3,2,4,4,1,-,1,1,2,-,2
S00089122,38,3,15,2,2,2,-,3,-,-,10,1,-,-,-,-
S00089123,56,7,7,2,5,10,6,2,1,1,6,5,3,-,-,1
S00089124,39,4,5,4,2,5,4,1,1,2,3,5,-,-,-,3
S00089125,64,6,11,1,8,8,11,1,1,1,7,6,1,-,-,2
S00089126,43,2,5,5,3,2,-,1,3,-,10,7,3,-,-,2
S00089127,41,5,8,2,8,6,2,3,2,-,1,2,1,-,-,1
S00089128,39,2,11,1,4,4,2,1,5,1,3,4,-,-,-,1
S00089129,71,2,10,2,15,17,8,4,4,-,1,1,5,-,-,2
S00089130,43,7,5,4,2,8,2,1,2,-,3,7,1,-,-,1
S00089131,40,6,4,3,3,6,4,3,2,2,3,2,-,-,-,2
S00089132,41,3,9,1,12,6,3,3,1,-,-,3,-,-,-,-
S00089133,41,6,7,6,6,6,1,3,1,-,2,2,-,-,-,1
S00089134,61,6,12,13,10,5,5,3,1,-,2,2,1,-,-,1
S00089135,73,16,11,10,15,9,4,4,-,1,-,-,-,-,-,3
S00089136,52,7,6,6,10,7,5,2,1,-,3,4,-,-,-,1
S00089137,46,4,7,10,10,5,5,1,1,-,-,-,2,1,-,-
S00089138,47,38,1,7,-,-,-,-,-,-,-,-,-,-,1,-
S00089139,37,7,4,2,7,4,3,4,1,-,4,-,-,-,-,1
S00089140,45,6,9,4,1,3,6,1,2,-,5,3,-,-,1,4
S00089141,49,4,6,2,7,8,5,3,2,2,3,3,-,-,1,3
S00089142,53,6,3,1,7,10,5,4,-,-,4,4,1,-,1,7
S00089143,41,4,5,6,8,8,2,-,-,-,1,2,2,-,-,3
S00089144,44,5,9,3,7,6,6,-,-,-,3,3,1,-,-,1
S00089145,52,3,11,5,4,8,5,4,4,2,1,1,2,-,-,2
S00089146,43,7,7,4,1,11,3,4,3,-,2,1,-,-,-,-
S00089147,47,3,8,3,3,2,2,4,3,-,14,3,-,-,-,2
S00089148,44,5,4,3,6,5,2,2,2,1,6,2,3,1,-,2
S00089149,40,-,7,1,1,6,2,3,7,1,6,2,3,-,-,1
S00089150,69,8,14,7,6,12,4,3,3,1,9,1,-,-,-,1
S00089151,37,7,16,2,4,-,-,2,1,-,4,1,-,-,-,-
S00089152,42,9,22,2,3,-,-,4,1,-,-,1,-,-,-,-
S00089153,40,16,7,2,5,-,-,2,1,-,1,3,1,-,-,2
S00089154,37,4,14,-,3,2,2,4,4,-,2,2,-,-,-,-
S00089155,39,4,3,8,7,4,3,3,-,-,3,1,-,-,-,3
S00089156,49,3,9,13,4,5,2,3,2,-,3,3,1,-,-,1
S00089157,48,10,7,4,9,4,6,-,2,2,1,2,-,-,-,1
S00089158,55,12,6,4,4,14,6,-,1,1,-,6,1,-,-,-
S00089159,43,10,6,4,3,5,2,5,3,-,-,2,-,-,-,3
S00089160,50,11,8,5,5,5,4,2,-,1,2,4,2,1,-,-
S00089161,43,4,7,7,5,6,5,1,-,-,3,5,-,-,-,-
S00089162,34,2,6,3,4,2,3,-,5,-,4,3,-,-,-,2
S00089163,51,6,10,1,8,6,2,-,2,-,7,5,-,-,-,4
S00089164,39,5,10,6,3,4,1,2,1,-,1,3,1,-,-,2
S00089165,49,11,6,5,8,4,5,3,3,-,1,-,-,-,-,3
S00089166,71,20,9,5,6,8,5,-,6,1,8,2,-,-,-,1
S00089167,52,7,9,5,6,3,4,5,2,-,4,4,1,-,-,2
S00089168,53,39,3,9,1,-,-,-,-,-,-,-,-,-,1,-
S00089169,46,7,7,2,4,5,5,1,2,-,8,3,1,-,1,-
S00089170,46,7,15,4,3,3,1,1,7,-,4,1,-,-,-,-
S00089171,41,10,11,5,-,2,1,-,1,2,1,6,-,-,-,2
S00089172,31,3,7,2,2,2,-,3,2,-,5,3,-,-,1,1
S00089173,62,6,10,3,12,3,6,1,6,2,5,5,2,-,-,1
S00089174,71,10,12,6,4,10,3,5,5,3,5,5,1,-,-,2
S00089175,64,8,18,4,2,4,3,3,2,-,11,6,1,1,-,1
S00089176,42,3,9,1,5,6,3,3,4,1,3,1,-,-,-,3
S00089177,67,13,15,1,5,7,2,5,3,1,10,3,-,-,-,2
S00089178,66,14,7,6,10,8,5,2,5,-,4,4,-,-,-,1
S00089179,77,13,10,4,11,8,7,3,6,-,8,6,-,-,-,1
S00089180,60,15,5,3,8,2,7,3,1,1,5,6,2,-,-,2
S00089181,45,7,9,7,1,5,3,3,1,-,3,4,1,-,-,1
S00089182,43,5,6,-,3,8,5,2,4,-,2,3,1,-,-,4
S00089183,41,6,6,3,5,9,1,1,4,-,4,2,-,-,-,-
S00089184,46,2,5,4,7,21,2,2,1,-,1,1,-,-,-,-
S00089185,55,10,3,6,12,16,4,-,1,-,-,1,-,-,-,2
S00089186,51,4,15,1,5,10,1,4,3,-,-,2,2,2,-,2
S00089187,38,12,6,-,5,2,-,6,-,1,-,-,1,-,-,5
S00089188,70,9,16,5,11,11,4,6,1,-,2,1,-,-,2,2
S00089189,72,11,16,6,9,12,3,7,3,-,1,-,1,-,-,3
S00089190,59,3,24,2,8,5,4,3,-,-,2,2,-,-,-,6
S00089191,72,4,28,2,7,9,2,7,1,-,-,1,1,2,-,8
S00089192,65,4,29,-,9,7,-,7,1,-,2,1,-,-,-,5
S00089193,76,-,35,2,13,8,1,6,1,1,-,3,-,2,-,4
S00089194,65,7,18,7,18,9,-,2,1,-,1,1,-,-,-,1
S00089195,51,3,9,5,8,14,6,1,1,-,1,2,-,-,-,1
S00089196,53,8,14,2,5,11,7,5,-,-,-,1,-,-,-,-
S00089197,52,5,9,6,9,9,5,4,2,-,3,-,-,-,-,-
S00089198,54,11,22,3,6,2,3,3,-,-,-,-,-,-,-,4
S00089199,26,-,6,1,5,8,1,1,2,-,1,-,-,1,-,-
S00089200,34,6,8,1,7,7,1,-,1,-,2,-,-,-,-,1
S00089201,43,6,7,5,6,10,3,-,-,-,4,1,-,1,-,-
S00089202,72,3,18,10,6,11,3,9,2,-,1,3,1,1,-,4
S00089203,75,3,13,6,3,22,4,9,4,-,5,3,-,-,-,3
S00089204,52,2,5,4,8,21,2,2,2,-,2,2,-,-,-,2
S00089205,52,3,10,6,7,10,3,5,1,-,2,1,-,2,-,2
S00089206,51,9,6,4,8,13,3,1,2,-,1,2,-,1,-,1
S00089207,40,6,6,2,6,13,-,1,4,-,-,-,1,-,-,1
S00089208,51,-,33,1,1,-,-,4,2,-,1,1,1,2,-,5
S00089209,41,1,17,-,5,2,1,8,3,-,-,-,-,2,-,2
S00089210,52,1,31,-,1,1,-,9,-,-,-,1,-,2,-,6
S00089211,49,1,30,1,2,-,-,5,-,-,2,-,-,1,-,7
S00089212,62,2,29,-,3,4,-,8,-,-,-,2,-,7,-,7
S00089213,43,-,24,-,1,2,-,8,2,-,-,-,-,3,-,3
S00089214,41,1,24,-,5,1,1,4,-,-,-,1,-,1,-,3
S00089215,39,1,21,1,3,3,-,3,-,-,3,1,-,1,-,2
S00089216,68,2,44,-,2,2,-,9,1,-,1,-,-,3,-,4
S00089217,52,2,32,1,3,4,-,5,-,-,-,-,-,2,-,3
S00089218,84,1,51,-,3,4,2,11,1,-,1,1,-,5,-,4
S00089219,55,2,35,-,1,5,-,6,-,-,-,-,1,4,-,1
S00089220,39,-,21,-,4,1,-,7,-,-,-,1,-,2,-,3
S00089221,81,8,35,1,7,6,2,8,1,-,1,-,-,2,-,10
S00089222,50,2,19,-,4,4,-,8,-,-,1,-,-,2,-,10
S00089223,48,5,25,3,3,1,-,4,1,-,1,-,-,2,-,3
S00089224,67,3,23,2,11,9,1,6,-,-,5,2,-,1,-,4
S00089225,41,1,26,-,3,2,-,4,-,-,1,-,-,-,-,4
S00089226,38,2,23,-,1,3,-,5,-,-,1,-,-,1,-,2
S00089227,84,5,44,1,3,2,2,11,-,-,1,3,-,2,-,10
S00089228,41,1,11,3,5,10,1,4,1,-,2,-,-,1,-,2
S00089229,51,5,19,-,6,7,2,7,-,-,-,1,1,2,-,1
S00089230,52,7,17,2,2,4,2,10,-,-,2,1,-,1,-,4
S00089231,59,4,32,1,3,3,-,8,-,-,2,-,-,1,-,5
S00089232,47,2,16,2,6,7,-,6,2,-,2,-,-,-,1,3
S00089233,31,1,4,2,9,11,2,1,-,-,-,1,-,-,-,-
S00089234,44,5,9,2,9,10,-,5,2,-,1,-,-,-,-,1
S00089235,69,3,41,-,7,2,1,7,-,-,1,-,1,4,-,2
S00089236,58,4,35,-,3,3,-,11,-,-,-,-,-,1,-,1
S00089237,53,7,8,5,10,12,2,3,2,-,-,2,-,1,-,1
S00089238,59,5,9,8,12,10,5,4,2,-,1,1,-,-,1,1
S00089239,42,3,6,4,11,10,2,1,3,1,-,-,-,-,-,1
S00089240,73,7,9,8,12,20,2,8,2,-,1,1,3,-,-,-
S00089241,30,9,-,4,8,5,1,1,-,-,-,-,-,-,-,2
