oa_code,All occupied household spaces,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,Solid fuel (for example wood coal) central heating,Other central heating,Two or more types of central heating
S00089152,42,0,33,6,0,0,0,3
S00089153,40,0,40,0,0,0,0,0
S00089154,37,1,33,2,0,0,0,1
S00089155,39,0,37,1,0,0,0,1
S00089156,49,0,46,2,0,0,0,1
S00089157,48,1,46,1,0,0,0,0
S00089158,55,0,54,0,0,0,0,1
S00089159,43,0,42,0,0,0,0,1
S00089160,50,0,46,3,0,0,0,1
S00089161,43,1,38,2,0,0,0,2
S00089162,34,0,31,2,0,1,0,0
S00089163,51,0,50,0,0,0,0,1
S00089164,39,0,34,4,0,0,0,1
S00089165,49,1,47,0,0,0,0,1
S00089166,71,1,64,6,0,0,0,0
S00089167,52,1,50,1,0,0,0,0
S00089168,53,1,17,33,0,0,1,1
S00089169,46,0,43,3,0,0,0,0
S00089170,46,0,43,2,0,0,0,1
S00089171,41,0,35,5,0,1,0,0
S00089172,31,1,28,2,0,0,0,0
S00089173,62,0,56,5,0,0,0,1
S00089174,71,0,66,2,0,0,0,3
S00089175,64,0,60,1,0,0,0,3
S00089176,42,0,41,0,0,0,0,1
S00089177,67,0,63,2,0,0,0,2
S00089178,66,0,61,3,0,0,0,2
S00089179,77,0,73,3,0,0,0,1
S00089180,60,1,54,4,0,0,0,1
S00089181,45,0,43,1,0,0,0,1
S00089182,43,0,42,1,0,0,0,0
S00089183,41,0,40,0,0,0,0,1
S00089184,46,0,43,1,0,0,0,2
S00089185,55,0,50,2,1,0,0,2
S00089186,51,0,49,0,0,0,0,2
S00089187,38,0,36,1,0,0,0,1
S00089188,70,1,66,3,0,0,0,0
S00089189,72,1,67,2,0,0,0,2
S00089190,59,2,55,1,1,0,0,0
S00089191,72,1,57,8,1,0,0,5
S00089192,65,0,60,4,0,0,0,1
S00089193,76,0,73,3,0,0,0,0
S00089194,65,1,59,5,0,0,0,0
S00089195,51,1,48,0,1,0,0,1
S00089196,53,1,51,1,0,0,0,0
S00089197,52,1,49,2,0,0,0,0
S00089198,54,4,17,33,0,0,0,0
S00089199,26,0,25,1,0,0,0,0
S00089200,34,0,32,2,0,0,0,0
S00089201,43,0,40,1,1,0,0,1
S00089202,72,2,60,7,0,0,0,3
S00089203,75,2,68,1,0,0,0,4
S00089204,52,0,50,2,0,0,0,0
S00089205,52,3,45,4,0,0,0,0
S00089206,51,0,48,0,2,0,0,1
S00089207,40,0,37,2,0,0,0,1
S00089208,51,1,39,8,0,0,0,3
S00089209,41,0,38,1,0,0,0,2
S00089210,52,7,34,9,1,0,0,1
S00089211,49,5,33,10,0,0,0,1
S00089212,62,5,50,6,0,0,0,1
S00089213,43,3,34,6,0,0,0,0
S00089214,41,1,38,1,0,0,0,1
S00089215,39,1,36,1,0,0,0,1
S00089216,68,2,55,11,0,0,0,0
S00089217,52,5,35,10,1,0,0,1
S00089218,84,10,48,23,0,0,0,3
S00089219,55,4,40,10,1,0,0,0
S00089220,39,3,30,6,0,0,0,0
S00089221,81,6,59,10,0,0,0,6
S00089222,50,0,47,3,0,0,0,0
S00089223,48,0,44,3,0,0,0,1
S00089224,67,2,59,6,0,0,0,0
S00089225,41,2,32,7,0,0,0,0
S00089226,38,0,31,6,0,0,0,1
S00089227,84,5,62,15,0,0,0,2
S00089228,41,1,33,4,0,0,0,3
S00089229,51,3,41,4,0,0,0,3
S00089230,52,2,44,6,0,0,0,0
S00089231,59,5,41,12,1,0,0,0
S00089232,47,0,43,3,0,0,0,1
S00089233,31,0,31,0,0,0,0,0
S00089234,44,1,42,0,0,0,0,1
S00089235,69,5,55,7,0,0,0,2
S00089236,58,3,47,5,0,1,0,2
S00089237,53,0,52,1,0,0,0,0
S00089238,59,0,56,1,0,0,0,2
S00089239,42,1,40,0,0,0,0,1
S00089240,73,0,71,2,0,0,0,0
S00089241,30,0,29,1,0,0,0,0
S00089242,51,0,50,1,0,0,0,0
S00089243,51,0,50,1,0,0,0,0
S00089244,56,1,52,2,0,0,0,1
S00089245,45,0,36,9,0,0,0,0
S00089246,37,0,35,1,0,0,0,1
S00089247,76,1,71,2,0,0,0,2
S00089248,91,3,83,3,0,0,0,2
S00089249,43,0,42,0,0,0,0,1
S00089250,36,0,33,2,0,0,0,1
S00089251,42,0,36,2,1,0,1,2
S00089252,44,0,40,2,0,0,0,2
S00089253,60,0,53,6,0,0,1,0
S00089254,56,1,53,1,1,0,0,0
S00089255,53,2,47,2,0,0,0,2
S00089256,46,0,46,0,0,0,0,0
S00089257,43,0,41,2,0,0,0,0
S00089258,50,4,24,22,0,0,0,0
S00089259,42,0,39,2,0,0,0,1
S00089260,55,3,51,0,1,0,0,0
S00089261,75,3,70,2,0,0,0,0
S00089262,69,6,37,22,0,0,0,4
S00089263,66,2,56,6,0,0,1,1
S00089264,77,2,67,6,0,0,0,2
S00089265,56,1,42,13,0,0,0,0
S00089266,59,6,42,8,0,0,0,3
S00089267,53,1,41,10,0,0,0,1
S00089268,71,3,58,7,0,0,0,3
S00089269,62,1,59,2,0,0,0,0
S00089270,80,4,67,9,0,0,0,0
S00089271,38,1,35,1,0,0,0,1
S00089272,26,1,22,2,0,0,0,1
S00089273,62,5,49,6,0,1,0,1
S00089274,64,4,50,10,0,0,0,0
S00089275,53,0,2,50,1,0,0,0
S00089276,41,11,21,8,0,0,0,1
S00089277,72,1,68,1,0,0,0,2
S00089278,53,0,3,49,0,0,1,0
S00089279,30,1,28,1,0,0,0,0
S00089280,27,0,26,1,0,0,0,0
S00089281,41,2,35,3,0,0,0,1
S00089282,27,0,24,2,0,0,0,1
S00089283,31,0,30,1,0,0,0,0
S00089284,51,0,49,2,0,0,0,0
S00089285,79,0,75,1,0,0,0,3
S00089286,68,8,39,17,0,0,0,4
