oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S00110224,63,39,7,-,2,12,3
S00110225,98,32,40,-,2,15,9
S00110226,97,21,37,-,7,21,11
S00110227,86,22,44,-,1,8,11
S00110228,75,28,28,-,-,14,5
S00110229,75,23,32,-,5,8,7
S00110230,113,45,34,-,7,16,11
S00110231,85,19,46,-,2,7,11
S00110232,109,17,71,-,2,11,8
S00110233,68,8,42,-,2,7,9
S00110234,73,23,34,-,-,6,10
S00110235,80,23,40,-,3,5,9
S00110236,86,26,40,-,3,9,8
S00110237,72,12,42,-,2,11,5
S00110238,142,34,94,-,1,9,4
S00110239,95,34,42,-,2,15,2
S00110240,103,27,36,-,1,9,30
S00110241,59,7,30,-,-,7,15
S00110242,103,32,51,-,1,13,6
S00110243,111,27,68,-,4,9,3
S00110244,81,13,55,-,2,6,5
S00110245,205,42,140,-,3,9,11
S00110246,69,24,23,-,3,10,9
S00110247,131,36,63,1,8,11,12
S00110248,150,23,109,-,3,5,10
S00110249,92,18,52,-,5,7,10
S00110250,60,4,30,-,3,4,19
S00110251,132,49,58,-,7,9,9
S00110252,88,30,34,-,3,15,6
S00110253,73,20,38,-,4,6,5
S00110254,103,49,38,-,2,11,3
S00110255,99,44,25,-,5,19,6
S00110256,143,61,52,-,11,14,5
S00110257,91,43,30,-,7,7,4
S00110258,74,29,27,-,4,8,6
S00110259,61,29,10,2,4,14,2
S00110260,65,29,19,-,4,9,4
S00110261,105,49,28,-,4,14,10
S00110262,79,28,29,-,7,9,6
S00110263,112,36,44,-,2,13,17
S00110264,93,29,26,1,5,17,15
S00110265,85,25,39,-,2,12,7
S00110266,108,36,51,-,8,5,8
S00110267,104,41,32,-,4,17,10
S00110268,76,33,26,-,6,6,5
S00110269,50,24,12,-,1,9,4
S00110270,121,15,81,-,6,5,14
S00110271,105,23,70,-,1,3,8
S00110272,76,23,25,-,3,8,17
S00110273,118,48,45,-,2,8,15
S00110274,79,34,28,-,2,7,8
S00110275,51,17,16,-,4,9,5
S00110276,141,45,65,-,6,17,8
S00110277,96,49,26,-,6,10,5
S00110278,100,23,56,-,2,3,16
S00110279,70,23,22,-,2,7,16
S00110280,69,20,32,-,5,4,8
S00110281,86,29,45,-,2,3,7
S00110282,56,28,18,-,1,4,5
S00110283,97,26,54,1,1,9,6
S00110284,95,22,48,-,4,10,11
S00110285,80,27,37,-,3,11,2
S00110286,109,33,53,-,4,12,7
S00110287,82,31,36,-,1,9,5
S00110288,119,40,55,-,6,15,3
S00110289,135,73,35,-,4,15,8
S00110290,97,24,54,-,3,12,4
S00110291,98,37,33,-,2,16,10
S00110292,117,31,70,-,6,1,9
S00110293,125,32,68,-,6,5,14
S00110294,107,23,52,-,6,14,12
S00110295,105,46,26,-,4,17,12
S00110296,102,36,39,-,4,8,15
S00110297,78,28,34,-,4,8,4
S00110298,112,28,47,-,7,17,13
S00110299,114,45,47,-,9,8,5
S00110300,123,40,59,-,2,14,8
S00110301,114,21,67,-,2,3,21
S00110302,104,20,55,-,4,7,18
S00110303,78,39,17,-,3,11,8
S00110304,88,16,48,-,6,8,10
S00110305,115,28,31,-,7,10,39
S00110306,119,39,44,-,8,14,14
S00110307,73,31,26,-,6,7,3
S00110308,103,40,42,-,8,8,5
S00110309,88,32,40,-,3,7,6
S00110310,71,27,24,-,3,8,9
S00110311,61,30,8,-,5,10,8
S00110312,87,42,34,-,4,6,1
S00110313,132,44,62,-,5,10,11
S00110314,127,38,60,1,1,11,16
S00110315,63,16,32,-,5,3,7
S00110316,107,61,21,-,4,14,7
S00110317,106,54,20,-,8,16,8
S00110318,105,18,64,-,2,11,10
S00110319,80,13,42,-,2,8,15
S00110320,143,44,72,-,5,5,17
S00110321,78,27,28,-,5,10,8
S00110322,88,27,41,2,1,5,12
S00110323,116,36,58,-,1,11,10
S00110324,112,39,52,-,4,8,9
S00110325,102,33,51,-,1,12,5
S00110326,108,30,45,-,4,15,14
S00110327,91,36,32,-,2,11,10
S00110328,42,17,14,-,1,5,5
S00110329,53,15,14,-,5,4,15
S00110330,95,33,44,-,4,9,5
S00110331,151,55,66,-,5,13,12
S00110332,176,36,83,-,4,10,43
S00110333,90,39,32,-,1,9,9
S00110334,81,24,40,-,-,12,5
S00110335,65,18,30,-,2,6,9
S00110336,147,52,77,-,2,11,5
S00110337,98,40,36,-,7,12,3
S00110338,100,46,37,-,4,9,4
S00110339,78,32,29,-,5,7,5
S00110340,99,47,30,-,6,9,7
S00110341,107,34,38,-,3,15,17
S00110342,71,26,32,2,-,5,6
S00110343,74,33,26,-,4,4,7
S00110344,102,50,21,4,7,14,6
S00110345,107,53,33,-,6,10,5
S00110346,131,44,61,-,5,12,9
S00110347,67,34,10,-,5,14,4
S00110348,131,42,52,-,8,17,12
S00110349,100,47,28,-,3,13,9
S00110350,48,11,27,-,3,5,2
S00110351,114,43,51,-,6,8,6
S00110352,95,38,36,-,3,12,6
S00110353,77,23,40,-,2,4,8
S00110354,60,3,31,2,3,9,12
S00110355,79,23,33,-,4,7,12
S00110356,124,36,63,-,1,14,10
S00110357,105,31,43,-,8,15,8
S00110358,96,32,47,-,2,11,4
S00110359,106,19,56,-,5,9,17
S00110360,85,20,38,-,5,14,8
S00110361,110,44,32,-,8,15,11
S00110362,62,38,6,-,3,12,3
S00110363,76,33,20,-,4,11,8
S00110364,80,30,35,-,5,8,2
S00110365,95,35,34,-,2,12,12
S00110366,67,39,10,2,6,7,3
S00110367,76,27,27,-,4,7,11
S00110368,79,18,48,-,1,5,7
S00110369,64,7,38,-,1,8,10
S00110370,69,17,34,-,3,5,10
S00110371,89,18,54,-,2,8,7
S00110372,116,37,46,-,8,17,8
S00110373,55,11,35,-,-,2,7
S00110374,83,39,24,-,5,9,6
S00110375,88,17,57,-,1,4,9
S00110376,58,19,24,-,5,7,3
S00110377,61,29,17,-,4,8,3
S00110378,83,25,38,-,2,11,7
S00110379,95,34,38,-,3,16,4
S00110380,96,35,38,-,5,9,9
S00110381,123,40,56,-,7,12,8
S00110382,85,27,40,-,3,11,4
S00110383,70,25,31,-,2,5,7
S00110384,85,21,40,-,2,11,11
S00110385,107,23,72,-,3,4,5
S00110386,94,28,50,-,3,4,9
S00110387,83,24,49,-,4,1,5
S00110388,76,22,34,-,5,10,5
S00110389,73,20,34,-,4,6,9
S00110390,112,43,46,-,2,14,7
S00110391,73,24,36,-,2,8,3
S00110392,109,59,26,-,4,15,5
S00110393,88,31,38,-,2,10,7
S00110394,115,30,69,-,2,4,10
S00110395,131,47,54,-,5,14,11
S00110396,93,56,17,-,4,15,1
S00110397,60,27,21,-,2,7,3
S00110398,80,45,8,-,5,16,6
S00110399,109,41,43,-,6,12,7
S00110400,67,19,29,2,4,8,5
S00110401,76,41,20,-,6,9,-
S00110402,92,22,33,-,1,15,21
S00110403,46,14,18,-,4,4,6
S00110404,82,41,12,-,5,21,3
S00110405,68,21,28,-,4,11,4
S00110406,101,28,48,-,3,13,9
S00110407,53,18,16,-,5,11,3
S00110408,146,38,83,-,6,11,8
S00110409,92,26,35,-,8,14,9
S00110410,116,39,50,-,5,10,12
S00110411,68,16,38,-,-,12,2
S00110412,65,22,22,-,2,14,5
S00110413,69,17,33,-,3,5,11
S00110414,69,20,30,-,4,6,9
S00110415,96,21,51,-,4,9,11
S00110416,71,26,26,-,2,9,8
S00110417,96,25,47,-,1,19,4
S00110418,89,18,41,-,9,14,7
S00110419,70,23,29,-,2,5,11
S00110420,79,19,32,-,8,8,12
S00110421,77,20,33,-,1,13,10
S00110422,100,37,48,-,2,9,4
S00110423,63,21,27,-,1,7,7
S00110424,75,35,26,-,5,3,6
S00110425,100,37,30,-,6,18,9
S00110426,101,32,50,1,1,8,9
S00110427,89,29,31,-,2,14,13
S00110428,95,24,59,-,5,2,5
S00110429,84,27,36,-,2,8,11
S00110430,84,30,39,-,3,5,7
S00110431,108,35,48,-,5,11,9
S00110432,71,25,14,-,3,9,20
S00110433,78,31,26,-,2,12,7
S00110434,91,33,26,2,4,17,9
S00110435,82,26,41,-,2,5,8
S00110436,94,23,51,-,-,4,16
S00110437,93,44,24,-,8,13,4
S00110438,140,52,66,1,5,9,7
S00110439,81,46,20,-,5,5,5
S00110440,106,34,52,-,4,8,8
S00110441,89,27,48,-,1,2,11
S00110442,86,42,34,-,3,4,3
S00110443,109,49,38,-,2,11,9
S00110444,69,28,24,-,5,7,5
S00110445,118,33,63,-,2,16,4
S00110446,81,33,25,-,7,9,7
S00110447,85,29,43,-,2,7,4
S00110448,126,44,57,2,1,12,10
S00110449,141,54,56,-,4,15,12
S00110450,105,32,43,-,5,14,11
S00110451,114,34,58,-,3,5,14
S00110452,102,34,43,1,2,16,6
S00110453,85,28,34,1,5,5,12
S00110454,112,44,39,2,4,10,13
S00110455,126,47,44,-,6,15,14
S00110456,154,51,67,-,6,18,12
S00110457,123,32,58,-,2,17,14
S00110458,82,25,42,-,-,8,7
S00110459,91,35,32,-,4,14,6
S00110460,103,34,49,-,3,7,10
S00110461,76,20,39,-,1,6,10
S00110462,78,24,36,-,1,9,8
S00110463,77,15,34,1,2,13,12
S00110464,68,15,45,-,1,3,4
S00110465,75,9,43,2,2,8,11
S00110466,79,15,24,-,1,13,26
S00110467,135,47,65,-,2,13,8
S00110468,109,40,36,-,5,17,11
S00110469,78,31,30,-,4,13,-
S00110470,116,39,58,1,3,10,5
S00110471,84,34,30,-,1,10,9
S00110472,102,28,43,-,2,9,20
S00110473,89,50,8,-,9,18,4
S00110474,65,11,37,-,-,8,9
S00110475,69,37,6,-,7,17,2
S00110476,115,37,52,-,3,13,10
S00110477,97,46,14,-,3,27,7
S00110478,82,35,27,-,3,11,6
S00110479,66,18,30,-,1,5,12
S00110480,120,53,43,-,1,16,7
S00110481,123,40,60,-,3,14,6
S00110482,102,27,56,-,2,10,7
S00110483,106,33,46,-,6,10,11
S00110484,73,29,15,-,4,20,5
S00110485,81,18,46,-,3,8,6
S00110486,89,19,58,-,1,9,2
S00110487,90,21,44,-,3,9,13
S00110488,63,16,36,-,2,4,5
S00110489,89,21,56,-,1,6,5
S00110490,55,24,12,-,3,14,2
S00110491,64,34,12,-,1,10,7
S00110492,55,29,10,1,6,7,2
S00110493,104,50,28,-,2,18,6
S00110494,101,51,21,5,7,9,8
S00110495,92,30,36,-,4,17,5
S00110496,47,17,9,1,1,10,9
S00110497,57,33,11,-,7,5,1
S00110498,96,37,27,-,4,12,16
S00110499,63,28,18,-,4,3,10
S00110500,104,37,46,4,4,3,10
S00110501,48,23,14,2,1,6,2
S00110502,62,25,18,-,2,9,8
S00110503,105,28,51,-,5,16,5
S00110504,119,46,46,-,8,16,3
S00110505,81,44,13,-,3,11,10
S00110506,69,28,17,-,4,14,6
S00110507,142,14,81,-,-,4,43
S00110508,80,24,32,1,4,10,9
S00110509,99,40,33,-,3,14,9
S00110510,79,34,23,-,1,12,9
S00110511,90,34,24,-,6,13,13
S00110512,80,24,42,-,1,7,6
S00110513,146,46,78,-,3,13,6
S00110514,112,39,44,-,1,15,13
S00110515,90,34,37,-,4,9,6
S00110516,116,24,64,-,4,8,16
S00110517,65,20,31,-,-,6,8
S00110518,125,38,62,-,4,16,5
S00110519,62,16,32,-,2,4,8
S00110520,161,53,75,-,1,12,20
S00110521,112,24,67,-,4,13,4
S00110522,72,29,27,-,3,4,9
S00110523,95,28,36,-,1,16,14
S00110524,70,30,25,-,2,9,4
S00110525,80,28,38,-,2,4,8
S00110526,52,26,8,-,3,8,7
S00110527,103,39,45,-,1,8,10
S00110528,48,17,14,2,2,5,8
S00110529,80,27,36,-,2,11,4
S00110530,120,31,46,-,-,6,37
S00110531,68,31,18,-,4,12,3
S00110532,71,19,26,-,1,10,15
S00110533,72,19,34,-,3,5,11
S00110534,81,32,12,-,7,24,6
S00110535,92,12,52,-,-,5,23
S00110536,70,33,10,-,5,16,6
S00110537,107,47,34,-,5,11,10
S00110538,80,34,26,-,1,9,10
S00110539,87,31,30,-,2,12,12
S00110540,73,25,20,-,4,12,12
S00110541,57,27,16,-,2,5,7
S00110542,69,20,30,-,2,9,8
S00110543,76,20,21,-,6,7,22
S00110544,48,20,15,-,-,7,6
S00110545,75,16,45,-,1,7,6
S00110546,71,34,27,-,1,5,4
S00110547,77,23,40,-,3,8,3
S00110548,90,19,51,-,5,4,11
S00110549,81,21,50,-,2,3,5
S00110550,119,41,46,-,4,15,13
S00110551,76,19,29,2,7,12,7
S00110552,58,16,24,-,-,11,7
S00110553,55,16,4,-,1,7,27
S00110554,106,46,27,-,5,19,9
S00110555,76,28,33,-,3,9,3
S00110556,95,30,37,-,4,13,11
S00110557,70,14,38,-,1,6,11
S00110558,63,24,24,-,3,8,4
S00110559,89,23,40,-,2,10,14
S00110560,89,17,46,-,7,10,9
S00110561,146,18,102,-,5,8,13
S00110562,85,16,49,-,2,5,13
S00110563,93,20,58,-,4,3,8
S00110564,71,16,32,-,3,8,12
S00110565,85,26,47,-,2,-,10
S00110566,90,24,40,-,3,8,15
S00110567,116,55,30,-,4,16,11
S00110568,129,29,78,-,2,7,13
S00110569,73,31,21,-,6,8,7
S00110570,107,29,64,-,2,11,1
S00110571,81,20,48,-,4,3,6
S00110572,153,29,103,3,-,9,9
S00110573,120,21,86,-,1,6,6
S00110574,107,22,71,-,3,7,4
S00110575,88,40,20,-,5,15,8
S00110576,103,36,52,-,4,9,2
S00110577,83,37,26,-,5,9,6
S00110578,125,44,52,-,5,18,6
S00110579,102,52,25,-,6,15,4
S00110580,120,44,52,-,2,12,10
S00110581,120,44,47,-,8,11,10
S00110582,118,50,39,-,7,17,5
S00110583,100,42,27,-,9,14,8
S00110584,47,14,9,-,4,13,7
S00110585,122,39,61,-,5,8,9
S00110586,108,39,54,-,1,10,4
S00110587,100,33,48,-,2,9,8
S00110588,97,21,59,-,1,5,11
S00110589,111,21,72,-,3,3,12
S00110590,64,11,10,-,5,5,33
S00110591,102,21,63,-,2,9,7
S00110592,87,33,31,1,4,10,8
S00110593,103,27,61,-,1,9,5
S00110594,89,32,36,1,7,10,3
S00110595,103,20,48,-,9,18,8
S00110596,120,37,58,-,6,10,9
S00110597,84,20,38,-,2,10,14
S00110598,94,27,40,4,5,7,11
S00110599,65,13,36,-,1,8,7
S00110600,92,30,47,-,5,4,6
S00110601,90,26,47,-,2,3,12
S00110602,96,24,46,-,5,7,14
S00110603,122,37,60,-,2,11,12
S00110604,97,32,40,-,5,9,11
S00110605,93,29,34,-,4,11,15
S00110606,116,27,58,-,3,10,18
S00110607,109,39,50,-,6,8,6
S00110608,99,34,44,-,5,8,8
S00110609,78,35,26,-,3,7,7
S00110610,122,21,69,-,5,16,11
S00110611,122,30,74,-,6,6,6
S00110612,104,36,36,-,4,16,12
S00110613,78,36,26,-,2,11,3
S00110614,59,27,20,-,3,6,3
S00110615,73,41,14,-,2,13,3
S00110616,83,31,40,-,1,8,3
S00110617,86,28,43,-,4,3,8
S00110618,70,12,38,-,4,5,11
S00110619,122,32,63,-,4,19,4
S00110620,78,15,52,-,2,3,6
S00110621,100,42,37,-,5,12,4
S00110622,66,22,24,-,6,10,4
S00110623,63,27,30,-,1,3,2
S00110624,109,45,35,-,7,11,11
S00110625,60,17,30,-,1,5,7
S00110626,52,20,20,-,3,5,4
S00110627,84,28,30,-,4,13,9
S00110628,120,36,43,2,6,21,12
S00110629,55,19,23,-,1,10,2
S00110630,57,24,16,1,4,9,3
S00110631,74,37,20,-,6,7,4
S00110632,79,29,32,-,1,10,7
S00110633,89,28,34,-,5,10,12
S00110634,98,42,37,-,5,8,6
S00110635,73,22,28,-,6,10,7
S00110636,61,17,22,-,3,8,11
S00110637,93,24,42,-,5,15,7
S00110638,75,21,42,-,7,3,2
S00110639,69,30,28,-,2,6,3
S00110640,83,10,58,-,3,6,6
S00110641,87,44,23,-,4,13,3
S00110642,86,16,55,-,2,8,5
S00110643,61,20,36,-,1,2,2
S00110644,114,27,54,-,2,22,9
S00110645,89,38,33,-,9,6,3
S00110646,107,24,49,-,4,20,10
S00110647,106,40,46,-,1,13,6
S00110648,65,21,20,-,8,10,6
S00110649,91,25,46,-,1,8,11
S00110650,72,21,33,-,2,10,6
S00110651,105,26,53,-,6,13,7
S00110652,71,21,32,-,3,10,5
S00110653,66,31,16,-,5,6,8
S00110654,129,42,71,-,3,8,5
S00110655,116,32,62,-,3,6,13
S00110656,75,16,36,-,1,7,15
S00110657,100,28,53,-,4,8,7
S00110658,85,19,47,-,3,9,7
S00110659,88,25,32,-,2,13,16
S00110660,99,34,48,-,3,10,4
S00110661,80,33,27,1,1,13,5
S00110662,107,37,46,-,6,12,6
S00110663,106,31,56,-,7,3,9
S00110664,87,21,52,-,4,4,6
S00110665,101,22,62,-,1,10,6
S00110666,83,26,39,-,4,8,6
S00110667,101,34,32,-,4,13,18
S00110668,72,19,32,-,4,13,4
S00110669,123,29,76,-,6,7,5
S00110670,153,34,107,-,2,8,2
S00110671,87,11,64,-,4,7,1
S00110672,96,19,70,-,1,3,3
S00110673,80,11,49,-,1,7,12
S00110674,119,22,85,-,6,-,6
S00110675,140,40,86,-,3,6,5
S00110676,140,35,94,-,4,6,1
S00110677,90,9,70,-,1,4,6
S00110678,62,10,42,2,2,6,-
S00110679,94,36,36,-,2,11,9
S00110680,95,34,43,-,1,15,2
S00110681,106,26,61,-,3,10,6
S00110682,76,18,32,-,4,11,11
S00110683,134,28,90,-,1,4,11
S00110684,151,39,97,-,4,4,7
S00110685,90,13,70,-,3,2,2
S00110686,130,47,54,-,10,13,6
S00110687,149,45,74,-,3,21,6
S00110688,71,22,37,-,-,7,5
S00110689,130,49,53,-,9,14,5
S00110690,81,32,35,-,5,2,7
S00110691,199,41,122,-,4,15,17
S00110692,125,31,79,-,1,7,7
S00110693,93,26,54,-,1,8,4
S00110694,71,29,26,-,6,6,4
S00110695,109,21,76,-,2,5,5
S00110696,116,26,61,-,5,14,10
S00110697,147,39,88,-,10,7,3
S00110698,88,23,53,1,6,4,1
S00110699,112,38,48,-,5,12,9
S00110700,57,6,12,-,9,12,18
S00110701,88,18,54,-,-,7,9
S00110702,53,3,40,-,-,3,7
S00110703,114,33,54,-,4,12,11
S00110704,85,25,42,-,6,8,4
S00110705,90,25,38,-,7,11,9
S00110706,76,20,37,-,3,8,8
S00110707,102,46,36,-,5,10,5
S00110708,111,43,44,-,5,15,4
S00110709,86,28,38,-,5,9,6
S00110710,88,43,35,-,2,4,4
S00110711,76,26,39,-,1,4,6
S00110712,96,24,44,-,4,13,11
S00110713,105,31,50,-,3,15,6
S00110714,58,19,31,-,-,6,2
S00110715,97,22,55,-,3,10,7
S00110716,114,35,62,-,5,5,7
S00110717,88,36,40,2,4,4,2
S00110718,128,41,56,-,8,13,10
S00110719,78,22,34,-,3,13,6
S00110720,81,27,39,-,2,6,7
S00110721,98,36,44,-,4,6,8
S00110722,67,16,35,1,1,10,4
S00110723,113,41,56,4,2,7,3
S00110724,115,10,86,-,3,5,11
S00110725,77,18,28,-,4,15,12
S00110726,96,24,49,2,2,14,5
S00110727,88,26,38,-,4,10,10
S00110728,87,22,43,-,4,10,8
S00110729,72,40,21,-,1,10,-
S00110730,108,39,48,-,6,7,8
S00110731,82,53,8,-,4,16,1
S00110732,100,46,38,-,5,7,4
S00110733,48,19,21,-,1,4,3
S00110734,83,40,19,-,3,14,7
S00110735,119,50,40,-,3,18,8
S00110736,109,44,34,-,8,16,7
S00110737,116,40,46,-,3,17,10
S00110738,94,56,9,-,7,18,4
S00110739,101,42,31,-,2,9,17
S00110740,118,46,47,-,5,13,7
S00110741,85,27,37,-,5,8,8
S00110742,82,24,40,1,3,7,7
S00110743,81,22,34,-,4,12,9
S00110744,93,23,52,2,2,9,5
S00110745,82,31,29,2,1,10,9
S00110746,68,15,34,-,2,4,13
S00110747,72,38,15,-,6,10,3
S00110748,86,30,34,-,2,15,5
S00110749,84,13,53,-,1,8,9
S00110750,78,17,40,-,3,10,8
S00110751,159,68,55,-,13,19,4
S00110752,74,18,46,-,-,1,9
S00110753,69,14,28,-,6,6,15
S00110754,82,17,46,-,1,12,6
S00110755,70,10,37,-,3,11,9
S00110756,76,13,42,-,2,9,10
S00110757,73,26,26,-,2,9,10
S00110758,102,33,28,-,3,13,25
S00110759,102,34,42,-,4,14,8
S00110760,97,18,46,-,4,19,10
S00110761,153,28,55,-,2,10,58
S00110762,111,38,44,-,7,12,10
S00110763,105,28,46,-,5,10,16
S00110764,109,51,29,-,5,17,7
S00110765,98,35,43,-,4,8,8
S00110766,155,39,96,-,6,10,4
S00110767,133,32,87,-,3,7,4
S00110768,193,33,67,-,5,17,71
S00110769,106,38,39,-,1,17,11
S00110770,113,29,76,-,2,2,4
S00110771,83,19,54,-,-,3,7
S00110772,72,24,30,-,2,7,9
S00110773,56,20,13,-,2,13,8
S00110774,91,24,43,-,3,8,13
S00110775,95,30,41,-,4,9,11
S00110776,83,35,28,-,1,12,7
S00110777,101,36,39,-,1,10,15
S00110778,151,37,87,-,5,11,11
S00110779,79,18,41,-,3,7,10
S00110780,82,24,42,-,7,3,6
S00110781,121,39,55,-,8,10,9
S00110782,90,32,40,-,6,9,3
S00110783,99,35,43,-,4,9,8
S00110784,76,20,45,-,2,5,4
S00110785,84,19,44,-,2,12,7
S00110786,69,12,38,-,3,8,8
S00110787,80,10,60,-,-,3,7
S00110788,113,21,79,-,2,4,7
S00110789,130,27,85,-,1,12,5
S00110790,92,40,41,-,2,5,4
S00110791,112,41,40,-,5,17,9
S00110792,83,29,37,-,3,6,8
S00110793,104,36,48,-,3,13,4
S00110794,132,38,67,-,2,17,8
S00110795,95,36,40,-,4,13,2
S00110796,62,22,27,-,5,2,6
S00110797,80,16,42,-,2,15,5
S00110798,103,31,42,-,9,13,8
S00110799,64,24,15,-,8,11,6
S00110800,97,31,40,-,9,16,1
S00110801,83,38,22,-,4,14,5
S00110802,82,22,42,-,3,13,2
S00110803,81,29,34,-,3,7,8
S00110804,111,41,46,-,4,16,4
S00110805,101,47,27,-,4,19,4
S00110806,134,54,45,-,9,23,3
S00110807,125,55,43,-,8,14,5
S00110808,93,26,48,-,6,10,3
S00110809,92,24,44,-,5,10,9
S00110810,108,27,66,-,4,6,5
S00110811,69,15,32,-,2,3,17
S00110812,98,33,44,1,3,8,9
S00110813,83,19,46,-,3,8,7
S00110814,64,7,26,-,2,6,23
S00110815,85,43,29,-,1,9,3
S00110816,83,33,30,-,7,8,5
S00110817,73,9,56,-,-,1,7
S00110818,70,22,38,-,2,8,-
S00110819,70,34,26,-,2,5,3
S00110820,98,28,46,-,4,13,7
S00110821,81,23,38,-,4,10,6
S00110822,115,34,74,-,1,3,3
S00110823,105,41,45,-,1,16,2
S00110824,88,34,34,-,3,11,6
S00110825,116,46,49,-,7,10,4
S00110826,85,36,26,-,3,14,6
S00110827,65,22,30,-,1,9,3
S00110828,107,43,45,-,5,12,2
S00110829,84,22,32,-,4,16,10
S00110830,99,21,58,-,1,10,9
S00110831,202,34,126,2,3,10,27
S00110832,74,4,59,-,1,3,7
S00110833,82,27,39,-,3,4,9
S00110834,93,30,46,-,2,5,10
S00110835,107,29,56,-,2,13,7
S00110836,89,23,38,-,5,7,16
S00110837,84,30,36,-,2,9,7
S00110838,66,42,4,-,6,12,2
S00110839,152,58,56,-,7,18,13
S00110840,117,59,34,-,3,15,6
S00110841,114,55,27,-,5,14,13
S00110842,84,38,31,-,3,9,3
S00110843,70,29,18,-,6,6,11
S00110844,102,29,55,-,4,7,7
S00110845,89,23,43,-,6,5,12
S00110846,86,28,29,-,6,11,12
S00110847,77,15,44,-,1,12,5
S00110848,84,24,40,2,1,6,11
S00110849,94,10,66,-,-,8,10
S00110850,96,34,33,-,4,17,8
S00110851,64,19,30,-,-,8,7
S00110852,75,24,28,-,1,18,4
S00110853,68,25,25,-,2,12,4
S00110854,70,35,22,-,2,8,3
S00110855,72,27,25,-,5,11,4
S00110856,108,22,69,-,3,5,9
S00110857,66,18,32,-,4,8,4
S00110858,70,9,48,-,3,2,8
S00110859,106,41,32,-,1,15,17
S00110860,82,29,28,-,5,9,11
S00110861,131,32,75,-,2,13,9
S00110862,103,32,47,-,6,10,8
S00110863,71,14,29,-,4,1,23
S00110864,41,3,31,-,1,5,1
S00110865,68,12,31,-,-,11,14
S00110866,61,13,36,-,2,4,6
S00110867,79,19,41,-,4,5,10
S00110868,77,18,44,-,1,6,8
S00110869,89,25,49,-,-,6,9
S00110870,113,36,54,3,4,10,6
S00110871,127,45,54,-,3,15,10
S00110872,112,44,38,-,4,13,13
S00110873,118,28,56,-,4,12,18
S00110874,114,36,56,-,2,16,4
S00110875,79,20,39,-,-,8,12
S00110876,98,46,33,-,3,10,6
S00110877,80,33,28,4,1,7,7
S00110878,91,16,50,1,3,11,10
S00110879,98,26,43,1,1,10,17
S00110880,75,25,19,-,3,11,17
S00110881,122,48,45,-,6,11,12
S00110882,58,15,34,-,1,4,4
S00110883,57,10,38,-,2,3,4
S00110884,71,12,44,-,1,6,8
S00110885,56,14,38,-,-,2,2
S00110886,67,32,23,-,1,9,2
S00110887,65,18,41,-,-,2,4
S00110888,71,11,46,-,2,9,3
S00110889,95,29,43,-,1,13,9
S00110890,53,14,33,-,1,2,3
S00110891,121,39,60,-,6,11,5
S00110892,53,21,18,-,8,3,3
S00110893,102,29,58,-,4,7,4
S00110894,125,45,62,-,6,9,3
S00110895,44,31,4,-,3,5,1
S00110896,96,31,40,-,4,14,7
S00110897,100,41,36,1,3,9,10
S00110898,70,10,52,-,1,2,5
S00110899,83,32,30,-,1,15,5
S00110900,137,49,65,-,7,13,3
S00110901,84,19,57,-,3,4,1
S00110902,110,45,44,-,3,6,12
S00110903,104,41,42,-,9,5,7
S00110904,138,31,85,-,4,11,7
S00110905,80,17,54,-,1,4,4
S00110906,106,36,47,-,4,13,6
S00110907,115,28,57,-,5,14,11
S00110908,95,24,43,-,6,9,13
S00110909,90,22,47,-,5,7,9
S00110910,76,18,42,-,3,6,7
S00110911,78,21,42,-,2,8,5
S00110912,76,31,29,-,-,11,5
S00110913,62,15,28,-,2,4,13
S00110914,58,22,16,-,2,14,4
S00110915,82,26,39,-,6,7,4
S00110916,79,25,38,-,3,7,6
S00110917,86,18,52,-,2,6,8
S00110918,51,13,25,-,3,4,6
S00110919,96,11,43,-,1,9,32
S00110920,95,21,56,-,2,7,9
S00110921,69,20,25,-,1,11,12
S00110922,63,14,29,-,5,5,10
S00110923,55,2,35,-,2,6,10
S00110924,104,9,67,-,3,8,17
S00110925,86,20,43,2,4,10,7
S00110926,95,28,38,-,3,18,8
S00110927,73,11,48,-,2,2,10
S00110928,61,22,20,-,3,7,9
S00110929,73,20,30,1,5,6,11
S00110930,70,17,34,-,3,9,7
S00110931,51,11,32,-,1,1,6
S00110932,77,13,50,-,1,3,10
S00110933,134,27,66,-,6,16,19
S00110934,71,11,48,-,1,5,6
S00110935,102,34,58,-,4,5,1
S00110936,52,14,20,-,8,8,2
S00110937,85,23,47,-,4,3,8
S00110938,51,15,24,-,2,5,5
S00110939,77,14,49,-,4,1,9
S00110940,79,24,36,-,2,14,3
S00110941,105,47,32,2,3,17,4
S00110942,127,37,53,-,3,6,28
S00110943,62,25,15,-,4,15,3
S00110944,75,26,36,-,-,7,6
S00110945,141,35,90,-,1,6,9
S00110946,64,20,30,-,3,8,3
S00110947,75,24,34,-,4,4,9
S00110948,81,30,36,-,1,10,4
S00110949,115,33,60,-,4,12,6
S00110950,57,3,47,-,-,1,6
S00110951,73,14,44,-,1,8,6
S00110952,121,21,80,2,1,8,9
S00110953,48,13,22,-,4,7,2
