oa_code,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S00089166,119,43,48,-,1,9,18
S00089167,95,34,39,-,2,13,7
S00089168,64,3,21,-,1,9,30
S00089169,89,29,37,-,4,15,4
S00089170,68,22,22,-,6,12,6
S00089171,65,25,17,-,2,9,12
S00089172,50,26,14,-,2,6,2
S00089173,116,36,53,-,6,11,10
S00089174,126,53,47,-,1,17,8
S00089175,102,50,28,-,3,13,8
S00089176,86,34,34,1,-,12,5
S00089177,105,41,30,-,3,21,10
S00089178,117,27,59,-,5,11,15
S00089179,143,46,61,-,3,17,16
S00089180,121,44,44,2,3,15,13
S00089181,83,33,34,-,1,8,7
S00089182,93,38,38,-,3,7,7
S00089183,81,31,36,-,2,7,5
S00089184,103,25,71,-,-,3,4
S00089185,113,23,78,-,1,1,10
S00089186,90,32,38,-,6,9,5
S00089187,63,29,20,-,1,8,5
S00089188,131,45,66,-,4,9,7
S00089189,127,40,65,-,-,12,10
S00089190,102,41,45,-,3,8,5
S00089191,122,48,54,-,7,9,4
S00089192,98,50,38,-,3,6,1
S00089193,122,52,60,1,3,6,-
S00089194,137,29,74,2,2,11,19
S00089195,107,29,66,-,1,6,5
S00089196,96,28,52,-,1,8,7
S00089197,97,26,59,-,1,6,5
S00089198,78,34,31,-,1,4,8
S00089199,72,22,36,-,4,9,1
S00089200,56,17,32,-,-,2,5
S00089201,81,19,46,-,3,4,9
S00089202,131,50,65,-,1,11,4
S00089203,170,75,77,-,8,8,2
S00089204,110,25,72,-,2,5,6
S00089205,98,32,56,-,3,5,2
S00089206,95,24,57,1,2,5,6
S00089207,78,26,45,-,1,4,2
S00089208,71,52,10,-,2,7,-
S00089209,66,47,16,-,-,3,-
S00089210,74,59,9,-,-,3,3
S00089211,69,53,12,-,-,4,-
S00089212,101,78,17,-,-,6,-
S00089213,63,52,6,-,1,4,-
S00089214,61,43,14,-,-,3,1
S00089215,59,33,17,-,2,6,1
S00089216,93,68,17,-,2,6,-
S00089217,74,49,18,1,4,1,1
S00089218,118,89,17,2,1,7,2
S00089219,77,55,16,-,2,2,2
S00089220,59,40,12,-,1,6,-
S00089221,138,84,35,-,2,11,6
S00089222,82,57,17,-,3,4,1
S00089223,65,39,14,-,1,9,2
S00089224,172,74,58,-,1,15,24
S00089225,55,42,11,-,-,1,1
S00089226,52,34,9,-,3,5,1
S00089227,124,90,19,-,4,8,3
S00089228,73,30,38,-,1,2,2
S00089229,82,42,35,-,-,2,3
S00089230,92,58,21,-,4,6,3
S00089231,82,57,17,1,-,6,1
S00089232,77,36,30,-,2,7,2
S00089233,63,11,49,-,-,3,-
S00089234,78,25,43,-,2,6,2
S00089235,99,66,23,-,2,6,2
S00089236,78,56,15,-,2,4,1
S00089237,96,24,60,-,-,5,7
S00089238,117,34,72,-,5,3,3
S00089239,87,24,53,-,4,5,1
S00089240,144,33,86,2,3,13,7
S00089241,56,13,37,-,-,3,3
S00089242,102,28,59,-,4,5,6
S00089243,100,20,66,-,1,7,6
S00089244,97,15,68,-,1,6,7
S00089245,76,27,36,-,1,8,4
S00089246,77,18,54,-,2,-,3
S00089247,141,40,80,-,3,9,9
S00089248,180,75,82,-,4,8,11
S00089249,83,20,58,-,1,2,2
S00089250,69,25,35,-,-,5,4
S00089251,84,29,40,-,1,11,3
S00089252,87,15,63,-,2,6,1
S00089253,108,39,49,-,2,8,10
S00089254,107,29,67,-,1,5,5
S00089255,101,46,46,-,4,3,2
S00089256,87,29,50,-,1,2,5
S00089257,82,29,43,-,5,3,2
S00089258,88,45,37,-,1,3,2
S00089259,70,42,16,-,1,7,4
S00089260,108,37,60,-,2,8,1
S00089261,131,64,51,-,1,10,5
S00089262,105,64,23,-,2,5,11
S00089263,88,68,12,-,3,4,1
S00089264,127,61,49,-,2,9,6
S00089265,81,67,8,-,-,5,1
S00089266,85,51,22,-,3,7,2
S00089267,79,61,10,1,1,6,-
S00089268,100,63,23,-,3,9,2
S00089269,91,65,17,-,1,6,2
S00089270,114,69,28,-,5,8,4
S00089271,72,19,37,-,2,8,6
S00089272,55,14,32,-,2,5,2
S00089273,94,61,23,-,3,6,1
S00089274,116,66,38,-,3,8,1
S00089275,64,8,20,-,-,9,27
S00089276,57,36,15,-,3,2,1
S00089277,147,51,79,-,5,5,7
S00089278,66,8,20,-,-,7,31
S00089279,53,14,30,1,2,5,1
S00089280,49,14,27,-,3,4,1
S00089281,69,46,16,-,1,6,-
S00089282,48,9,35,-,2,1,1
S00089283,47,17,20,-,-,7,3
S00089284,95,22,55,-,2,9,7
S00089285,121,64,43,-,3,9,2
S00089286,101,76,15,-,2,7,1
S00089287,87,22,26,-,1,12,26
S00089288,133,77,40,-,1,9,6
S00089289,106,45,43,-,1,7,10
S00089290,61,23,28,-,2,1,7
S00089291,80,21,42,-,-,11,6
S00089292,79,23,36,-,-,9,11
S00089293,133,66,30,-,8,20,9
S00089294,127,63,52,1,1,8,2
S00089295,148,55,65,-,5,11,12
S00089296,139,53,59,-,9,10,8
S00089297,74,42,18,-,3,6,5
S00089298,91,41,28,2,1,12,7
S00089299,52,13,13,-,3,6,17
S00089300,85,34,38,-,3,5,5
S00089301,93,35,43,-,1,8,6
S00089302,90,39,39,-,-,5,7
S00089303,153,71,54,-,5,14,9
S00089304,134,58,56,-,-,12,8
S00089305,67,20,21,-,-,6,20
S00089306,128,55,37,-,3,11,22
S00089307,76,35,18,-,2,18,3
S00089308,53,17,31,-,1,3,1
S00089309,125,54,52,-,4,9,6
S00089310,142,75,43,-,2,12,10
S00089311,92,35,40,-,1,9,7
S00089312,138,40,83,-,4,7,4
S00089313,123,34,65,-,3,5,16
S00089314,113,59,41,-,4,7,2
S00089315,92,27,54,-,-,4,7
S00089316,93,17,65,-,-,3,8
S00089317,77,11,62,-,-,3,1
S00089318,90,20,53,-,2,5,10
S00089319,116,30,64,-,3,9,10
S00089320,101,30,57,-,2,7,5
S00089321,70,9,52,-,1,2,6
S00089322,101,34,53,2,1,4,7
S00089323,73,17,44,-,1,6,5
S00089324,82,18,52,-,1,2,9
S00089325,84,12,62,-,2,3,5
S00089326,108,17,82,-,-,2,7
S00089327,95,21,61,-,-,6,7
S00089328,97,11,64,-,1,2,19
S00089329,88,15,55,-,-,6,12
S00089330,121,17,88,-,3,7,6
S00089331,136,30,92,-,4,3,7
S00089332,143,32,96,-,3,5,7
S00089333,139,34,89,-,-,10,6
S00089334,127,23,88,-,-,6,10
S00089335,120,43,59,-,1,10,7
S00089336,80,27,43,-,-,3,7
S00089337,53,17,28,-,-,4,4
S00089338,135,24,85,-,1,10,15
S00089339,130,21,88,-,-,7,14
S00089340,108,15,60,-,-,7,26
S00089341,67,12,36,-,5,8,6
S00089342,75,10,27,-,1,2,35
S00089343,66,32,21,-,1,6,6
S00089344,55,20,16,-,4,8,7
S00089345,89,52,23,-,2,5,7
S00089346,127,25,87,-,3,6,6
S00089347,87,23,52,-,1,1,10
S00089348,88,24,59,-,-,4,1
S00089349,88,24,58,-,2,1,3
S00089350,102,34,53,-,1,5,9
S00089351,131,33,83,2,2,2,9
S00089352,133,43,81,-,-,2,7
S00089353,100,20,64,-,1,5,10
S00089354,72,17,42,-,3,3,7
S00089355,125,26,86,-,2,4,7
S00089356,56,24,19,-,2,8,3
S00089357,100,49,35,-,4,5,7
S00089358,74,30,23,-,5,9,7
S00089359,103,36,44,-,2,9,12
S00089360,102,40,38,-,7,10,7
S00089361,132,43,54,-,1,18,16
S00089362,116,22,37,-,-,4,53
S00089363,54,19,28,-,1,2,4
S00089364,92,64,17,-,3,7,1
S00089365,114,74,31,-,6,3,-
S00089366,97,67,24,-,-,5,1
S00089367,90,24,42,-,2,11,11
S00089368,55,32,14,-,2,5,2
S00089369,105,71,21,-,8,3,2
S00089370,104,46,28,-,4,13,13
S00089371,116,48,37,-,4,16,11
S00089372,58,28,16,-,1,6,7
S00089373,91,48,31,-,2,7,3
S00089374,90,21,28,-,-,6,35
S00089375,121,23,70,-,6,4,18
S00089376,120,26,74,-,2,5,13
S00089377,70,11,50,-,1,3,5
S00089378,85,18,54,-,-,8,5
S00089379,151,25,113,-,2,1,10
S00089380,131,30,86,-,-,1,14
S00089381,95,17,67,-,3,2,6
S00089382,108,16,78,-,3,1,10
S00089383,94,14,71,-,3,3,3
S00089384,87,20,56,-,5,2,4
S00089385,174,47,71,-,6,6,44
S00089386,193,32,116,-,-,12,33
S00089387,140,27,97,-,-,5,11
S00089388,124,36,73,-,2,5,8
S00089389,88,18,58,-,1,5,6
S00089390,74,16,37,2,3,8,8
S00089391,93,32,24,-,8,22,7
S00089392,66,34,15,-,3,3,11
S00089393,70,30,20,-,3,6,11
S00089394,58,15,15,-,1,13,14
S00089395,101,29,40,-,2,20,10
S00089396,71,33,7,-,14,8,9
S00089397,88,34,40,-,1,5,8
S00089398,90,10,66,-,3,4,7
S00089399,51,3,12,-,-,2,34
S00089400,81,14,53,-,1,8,5
S00089401,67,28,26,-,3,4,6
S00089402,74,23,29,2,5,6,9
S00089403,83,20,51,-,1,8,3
S00089404,85,15,58,-,-,3,9
S00089405,87,15,57,-,2,6,7
S00089406,114,20,85,-,2,2,5
S00089407,106,29,48,-,3,10,16
S00089408,83,20,46,-,4,9,4
S00089409,95,20,62,-,3,7,3
S00089410,93,23,58,-,1,9,2
S00089411,76,20,46,-,2,5,3
S00089412,156,21,120,-,2,5,8
S00089413,143,24,109,-,3,5,2
S00089414,54,11,21,-,2,13,7
S00089415,81,34,26,-,2,13,6
S00089416,111,29,64,-,3,9,6
S00089417,114,32,70,-,1,4,7
S00089418,114,15,85,-,1,6,7
S00089419,95,25,51,-,6,8,5
S00089420,121,24,76,-,7,5,9
S00089421,122,14,97,-,-,2,9
S00089422,78,24,35,2,2,8,7
S00089423,124,19,99,-,-,3,3
S00089424,112,20,77,-,4,5,6
S00089425,146,33,99,-,3,7,4
S00089426,124,23,86,-,7,6,2
S00089427,64,18,36,-,1,4,5
S00089428,66,28,23,-,1,10,4
S00089429,101,22,57,-,-,4,18
S00089430,108,19,60,-,1,10,18
S00089431,122,29,41,-,4,8,40
S00089432,49,12,31,-,1,2,3
S00089433,68,33,15,-,3,7,10
S00089434,64,17,38,-,4,1,4
S00089435,97,24,63,-,2,3,5
S00089436,94,14,68,-,1,3,8
S00089437,116,21,82,-,-,6,7
S00089438,118,16,97,-,2,1,2
S00089439,97,21,68,-,3,1,4
