oa_zones,All people aged 16 and over: Total,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00089399,51,33,13,1,2,2
S00089400,81,13,9,8,7,44
S00089401,67,28,21,6,7,5
S00089402,74,22,13,10,12,17
S00089403,83,2,12,9,13,47
S00089404,85,7,14,12,2,50
S00089405,87,2,14,11,6,54
S00089406,114,3,8,20,7,76
S00089407,106,21,13,17,10,45
S00089408,83,9,19,5,3,47
S00089409,95,10,15,14,12,44
S00089410,93,5,15,13,15,45
S00089411,76,6,16,11,7,36
S00089412,156,14,21,24,15,82
S00089413,143,16,22,9,11,85
S00089414,54,14,18,8,1,13
S00089415,81,13,15,15,13,25
S00089416,111,12,13,22,8,56
S00089417,114,7,16,14,11,66
S00089418,114,15,10,16,8,65
S00089419,95,8,15,9,9,54
S00089420,121,11,13,13,7,77
S00089421,122,3,9,5,7,98
S00089422,78,5,13,8,7,45
S00089423,124,6,13,11,9,85
S00089424,112,13,12,14,7,66
S00089425,146,8,13,18,14,93
S00089426,124,4,13,16,12,79
S00089427,64,4,11,7,5,37
S00089428,66,8,14,5,6,33
S00089429,101,12,10,12,8,59
S00089430,108,16,14,8,8,62
S00089431,122,44,19,13,7,39
S00089432,49,7,4,3,2,33
S00089433,68,7,12,2,18,29
S00089434,64,4,8,10,3,39
S00089435,97,2,10,10,5,70
S00089436,94,8,13,9,6,58
S00089437,116,9,16,15,14,62
S00089438,118,13,13,13,7,72
S00089439,97,4,10,12,2,69
S00089440,44,3,6,1,0,34
S00089441,69,16,22,10,3,18
S00089442,101,22,14,16,6,43
S00089443,58,7,10,4,2,35
S00089444,129,3,15,20,15,76
S00089445,137,4,15,35,13,70
S00089446,104,2,9,42,14,37
S00089447,84,0,4,29,7,44
S00089448,95,2,10,29,12,42
S00089449,135,23,21,16,18,57
S00089450,75,20,24,6,9,16
S00089451,80,34,19,4,4,19
S00089452,95,39,19,7,8,22
S00089453,107,17,21,15,6,48
S00089454,75,20,22,9,3,21
S00089455,85,34,18,5,1,27
S00089456,119,31,16,17,14,41
S00089457,84,6,7,21,9,41
S00089458,71,2,12,12,4,41
S00089459,59,5,7,8,4,35
S00089460,84,64,9,3,1,7
S00089461,103,31,17,15,9,31
S00089462,87,8,16,19,15,29
S00089463,121,19,24,29,11,38
S00089464,128,10,12,32,15,59
S00089465,81,2,7,10,8,54
S00089466,96,32,12,9,5,38
S00089467,76,4,12,18,8,34
