oa_zones,All people aged 16 and over: Total,All people aged 16 and over: No qualifications,All people aged 16 and over: Level 1,All people aged 16 and over: Level 2,All people aged 16 and over: Level 3,All people aged 16 and over: Level 4 and above
S00115718,131,75,24,7,11,14
S00115719,90,53,18,5,7,7
S00115720,56,28,15,4,5,4
S00115721,84,47,22,4,6,5
S00115722,62,34,16,8,2,2
S00115723,48,13,10,6,7,12
S00115724,67,26,31,4,5,1
S00115725,87,40,25,9,6,7
S00115726,64,26,16,11,3,8
S00115727,83,37,26,9,9,2
S00115728,80,48,15,2,7,8
S00115729,146,68,44,16,8,10
S00115730,142,74,35,15,9,9
S00115731,92,33,36,10,8,5
S00115732,153,81,30,19,10,13
S00115733,127,71,29,13,8,6
S00115734,101,43,28,16,8,6
S00115735,132,72,24,19,6,11
S00115736,84,53,17,4,4,6
S00115737,79,31,23,8,11,6
S00115738,66,31,15,5,5,10
S00115739,90,48,27,6,6,3
S00115740,137,73,35,13,7,9
S00115741,62,40,16,1,4,1
S00115742,95,64,14,6,5,6
S00115743,69,29,20,7,7,6
S00115744,104,55,25,10,5,9
S00115745,53,24,13,6,7,3
S00115746,49,27,17,1,3,1
S00115747,66,22,23,10,7,4
S00115748,88,19,38,10,7,14
S00115749,123,69,29,7,7,11
S00115750,83,45,17,10,7,4
S00115751,46,24,12,4,2,4
S00115752,91,32,29,15,9,6
S00115753,113,29,45,11,15,13
S00115754,121,45,26,19,14,17
S00115755,80,46,14,13,2,5
S00115756,145,52,36,18,12,27
S00115757,138,25,33,24,24,32
S00115758,153,74,37,18,11,13
S00115759,46,15,19,3,3,6
S00115760,163,25,33,23,30,52
S00115761,123,21,34,19,22,27
S00115762,117,53,36,12,7,9
S00115763,91,41,31,10,7,2
S00115764,84,28,21,11,7,17
S00115765,125,30,36,18,13,28
S00115766,132,37,38,23,14,20
S00115767,200,77,41,22,21,39
S00115768,111,13,28,17,22,31
S00115769,77,13,22,20,5,17
S00115770,92,20,22,16,18,16
S00115771,56,38,10,3,2,3
S00115772,100,40,37,10,6,7
S00115773,121,28,37,20,8,28
S00115774,91,45,23,10,7,6
S00115775,76,42,19,4,6,5
S00115776,142,60,31,12,13,26
S00115777,115,35,28,12,17,23
S00115778,72,24,22,15,6,5
S00115779,90,32,24,14,9,11
S00115780,77,38,21,8,8,2
S00115781,81,33,41,1,2,4
S00115782,65,25,23,10,6,1
S00115783,110,68,15,13,6,8
S00115784,120,67,23,12,9,9
S00115785,94,49,24,11,5,5
S00115786,112,36,34,9,16,17
S00115787,128,27,29,23,15,34
S00115788,105,28,23,21,10,23
S00115789,84,35,24,12,6,7
S00115790,96,23,20,16,11,26
S00115791,111,27,21,20,10,33
S00115792,96,18,24,15,19,20
S00115793,174,26,53,28,25,42
S00115794,93,49,23,7,8,6
S00115795,98,28,23,13,13,21
S00115796,77,22,29,11,3,12
S00115797,136,45,50,12,12,17
S00115798,55,14,11,12,5,13
S00115799,117,29,28,15,21,24
S00115800,137,36,40,20,18,23
S00115801,131,34,35,16,18,28
S00115802,156,13,21,21,15,86
S00115803,83,13,7,13,6,44
S00115804,119,41,23,19,8,28
S00115805,89,21,21,16,13,18
S00115806,89,10,17,11,15,36
S00115807,76,37,13,13,3,10
S00115808,97,19,27,26,9,16
S00115809,92,28,15,16,4,29
S00115810,107,28,28,19,15,17
S00115811,96,23,26,22,13,12
S00115812,93,23,20,18,10,22
S00115813,122,29,39,19,15,20
S00115814,87,29,17,14,10,17
S00115815,119,37,39,17,13,13
S00115816,100,22,36,14,10,18
S00115817,85,30,14,17,8,16
S00115818,84,16,30,14,6,18
S00115819,104,33,31,12,8,20
S00115820,84,28,21,16,9,10
S00115821,80,17,26,17,8,12
S00115822,97,30,23,17,11,16
S00115823,133,46,30,23,10,24
S00115824,124,28,33,21,18,24
S00115825,89,25,18,15,10,21
S00115826,120,42,21,23,10,24
S00115827,95,19,18,26,7,25
S00115828,115,23,29,17,13,33
S00115829,92,23,15,12,20,22
S00115830,136,39,39,18,14,26
S00115831,66,15,17,9,7,18
S00115832,109,30,26,28,12,13
S00115833,108,26,37,16,12,17
S00115834,97,25,20,14,14,24
S00115835,129,30,48,20,15,16
S00115836,88,21,19,11,16,21
S00115837,93,24,22,19,9,19
S00115838,89,39,30,7,5,8
S00115839,91,48,17,7,4,15
S00115840,114,28,24,22,15,25
S00115841,66,26,11,16,7,6
S00115842,124,58,34,14,7,11
S00115843,83,16,24,25,7,11
S00115844,93,33,29,10,8,13
S00115845,122,65,22,12,8,15
S00115846,123,63,28,11,10,11
S00115847,137,60,32,20,10,15
S00115848,83,44,9,9,7,14
S00115849,144,25,46,29,15,29
S00115850,92,17,29,20,7,19
S00115851,96,27,29,21,6,13
S00115852,88,48,14,9,8,9
S00115853,90,16,20,19,9,26
S00115854,128,37,30,20,17,24
S00115855,107,38,20,14,9,26
S00115856,115,34,29,19,12,21
S00115857,81,26,22,9,6,18
S00115858,102,28,28,14,12,20
S00115859,158,45,36,32,15,30
S00115860,80,25,22,10,9,14
S00115861,108,48,35,16,4,5
S00115862,118,46,33,20,10,9
S00115863,81,40,21,4,9,7
S00115864,88,39,24,11,12,2
S00115865,73,25,20,12,10,6
S00115866,103,38,23,18,9,15
S00115867,63,37,13,6,3,4
S00115868,77,36,23,7,6,5
S00115869,64,31,16,10,6,1
S00115870,120,53,37,9,11,10
S00115871,74,35,14,8,7,10
S00115872,115,28,28,25,12,22
S00115873,104,34,17,22,13,18
S00115874,99,21,20,19,19,20
S00115875,127,57,31,16,8,15
S00115876,74,43,16,6,4,5
S00115877,76,32,32,6,3,3
S00115878,101,52,23,9,10,7
S00115879,107,56,29,7,13,2
S00115880,68,25,21,12,5,5
S00115881,91,45,21,16,6,3
S00115882,90,43,26,11,5,5
S00115883,66,29,26,4,5,2
S00115884,67,39,14,11,2,1
S00115885,80,49,22,4,5,0
S00115886,90,51,22,10,2,5
S00115887,90,39,36,4,4,7
S00115888,87,48,18,9,5,7
S00115889,83,44,19,7,7,6
S00115890,90,45,27,3,8,7
S00115891,120,60,15,13,10,22
S00115892,72,44,14,3,6,5
S00115893,146,42,48,16,16,24
S00115894,83,38,23,4,6,12
S00115895,63,30,14,7,4,8
S00115896,144,37,40,30,15,22
S00115897,72,25,21,11,10,5
S00115898,86,16,15,27,14,14
S00115899,47,12,14,4,1,16
S00115900,165,43,41,29,8,44
S00115901,75,29,21,4,8,13
S00115902,148,32,28,26,28,34
S00115903,139,32,36,31,19,21
S00115904,81,44,14,10,7,6
S00115905,61,36,11,7,2,5
S00115906,66,31,8,6,5,16
S00115907,63,22,11,13,6,11
S00115908,120,51,37,9,15,8
S00115909,99,38,27,10,6,18
S00115910,90,27,30,14,11,8
S00115911,91,22,24,17,12,16
S00115912,154,47,41,24,20,22
S00115913,114,24,32,30,10,18
S00115914,106,20,29,9,9,39
S00115915,126,15,19,27,16,49
S00115916,169,34,24,32,20,59
S00115917,123,26,12,24,13,48
S00115918,85,20,16,9,13,27
S00115919,127,25,27,18,9,48
S00115920,74,39,5,6,8,16
S00115921,91,29,24,7,10,21
S00115922,113,42,20,17,11,23
S00115923,140,5,11,17,10,97
S00115924,81,6,5,10,9,51
S00115925,48,3,2,3,4,36
S00115926,135,2,22,25,10,76
S00115927,77,7,3,16,6,45
S00115928,39,3,7,3,0,26
S00115929,72,1,6,30,6,29
S00115930,91,21,16,10,12,32
S00115931,115,37,26,6,13,33
S00115932,82,26,21,8,8,19
S00115933,87,31,30,8,7,11
S00115934,111,11,29,22,14,35
S00115935,78,21,26,10,8,13
S00115936,122,35,35,15,11,26
S00115937,77,37,18,8,10,4
S00115938,84,17,17,18,10,22
S00115939,51,25,12,5,5,4
S00115940,79,7,8,2,7,55
S00115941,102,81,14,2,2,3
S00115942,74,30,34,3,2,5
S00115943,71,31,20,8,5,7
S00115944,63,29,21,3,6,4
S00115945,128,56,45,8,11,8
S00115946,83,50,18,6,6,3
S00115947,95,40,36,9,5,5
S00115948,88,46,30,5,2,5
S00115949,86,51,20,5,5,5
S00115950,68,30,23,2,5,8
S00115951,70,30,24,9,3,4
S00115952,50,23,13,5,4,5
S00115953,66,32,20,6,5,3
S00115954,44,14,13,7,6,4
S00115955,69,54,6,4,2,3
S00115956,113,44,52,6,5,6
S00115957,48,25,13,3,4,3
S00115958,99,56,26,9,5,3
S00115959,54,22,29,1,2,0
S00115960,76,36,24,9,4,3
S00115961,129,47,39,16,14,13
S00115962,133,30,35,30,17,21
S00115963,53,19,15,8,4,7
S00115964,85,20,10,11,4,40
S00115965,99,29,9,15,9,37
S00115966,111,55,28,11,12,5
S00115967,77,11,39,11,9,7
S00115968,132,70,41,7,8,6
S00115969,66,26,27,6,3,4
S00115970,119,60,25,12,8,14
S00115971,168,61,23,20,15,49
S00115972,50,1,3,14,4,28
S00115973,78,3,5,24,2,44
S00115974,55,28,8,2,10,7
S00115975,81,28,20,7,5,21
S00115976,64,19,24,10,2,9
S00115977,109,7,16,31,10,45
S00115978,60,7,7,1,5,40
S00115979,71,7,3,5,8,48
S00115980,54,25,8,4,2,15
S00115981,149,17,25,23,13,71
S00115982,156,29,25,23,20,59
S00115983,132,19,27,24,11,51
S00115984,115,42,17,13,10,33
S00115985,144,20,35,33,12,44
S00115986,48,17,11,4,7,9
S00115987,72,33,20,8,6,5
S00115988,108,8,29,23,9,39
S00115989,79,38,16,6,11,8
S00115990,73,47,9,5,6,6
S00115991,108,58,16,10,10,14
S00115992,140,35,31,27,14,33
S00115993,52,25,14,4,5,4
S00115994,106,73,14,8,5,6
S00115995,135,25,29,14,14,53
S00115996,42,18,15,1,2,6
S00115997,44,19,12,5,5,3
S00115998,68,15,11,17,5,20
S00115999,60,23,12,9,8,8
S00116000,78,30,13,12,6,17
S00116001,61,37,13,5,4,2
S00116002,65,38,17,4,3,3
S00116003,69,45,16,5,1,2
S00116004,61,33,15,8,4,1
S00116005,107,60,21,9,8,9
S00116006,60,28,18,7,6,1
S00116007,97,49,21,10,9,8
S00116008,40,18,12,2,5,3
S00116009,83,48,14,6,7,8
S00116010,102,52,27,6,8,9
S00116011,44,21,15,3,3,2
S00116012,111,71,23,5,2,10
S00116013,51,29,11,2,6,3
S00116014,88,53,9,6,7,13
S00116015,76,20,13,14,9,20
S00116016,100,42,31,9,7,11
S00116017,64,8,15,6,9,26
S00116018,55,23,13,9,2,8
S00116019,81,37,26,9,4,5
S00116020,45,22,11,0,3,9
S00116021,82,39,16,10,8,9
S00116022,70,40,10,10,5,5
S00116023,74,28,26,7,7,6
S00116024,70,40,13,5,5,7
S00116025,36,19,8,4,1,4
S00116026,65,28,19,7,4,7
S00116027,88,52,14,8,8,6
S00116028,63,15,21,13,3,11
S00116029,94,30,27,16,9,12
S00116030,53,27,12,6,3,5
S00116031,82,21,22,10,4,25
S00116032,83,13,30,17,9,14
S00116033,54,9,18,7,12,8
S00116034,56,42,10,2,1,1
S00116035,125,3,12,27,8,75
S00116036,221,98,15,28,8,72
S00116037,118,3,8,21,14,72
S00116038,120,9,8,22,11,70
S00116039,125,5,15,25,15,65
S00116040,128,4,5,25,17,77
S00116041,88,12,20,14,6,36
S00116042,65,2,6,21,3,33
S00116043,45,28,9,2,3,3
S00116044,61,34,8,8,3,8
S00116045,131,10,16,24,10,71
S00116046,79,48,19,5,7,0
S00116047,82,54,18,4,2,4
S00116048,62,12,17,11,8,14
S00116049,56,15,12,6,3,20
S00116050,54,7,15,8,8,16
S00116051,103,43,9,8,13,30
S00116052,119,57,26,9,13,14
S00116053,102,15,13,16,14,44
S00116054,114,72,22,6,4,10
S00116055,100,74,13,5,3,5
S00116056,57,42,6,3,4,2
S00116057,113,37,31,14,8,23
S00116058,80,38,19,5,12,6
S00116059,121,43,33,19,10,16
S00116060,74,55,9,1,2,7
S00116061,49,33,5,7,0,4
S00116062,91,36,19,14,9,13
S00116063,112,42,21,9,12,28
S00116064,78,43,21,6,6,2
S00116065,75,11,3,18,11,32
S00116066,79,43,21,4,2,9
S00116067,112,68,19,9,3,13
S00116068,66,26,16,5,10,9
S00116069,50,24,12,6,4,4
S00116070,88,3,9,33,13,30
S00116071,62,22,13,10,6,11
S00116072,67,11,20,11,8,17
S00116073,91,50,24,7,6,4
S00116074,52,12,21,9,5,5
S00116075,71,23,18,8,11,11
S00116076,91,19,20,14,10,28
S00116077,928,40,111,470,67,240
S00116078,73,40,21,4,6,2
S00116079,88,46,25,7,6,4
S00116080,61,33,18,5,3,2
S00116081,103,29,31,21,6,16
S00116082,64,18,9,11,7,19
S00116083,82,58,15,4,1,4
S00116084,119,63,27,15,4,10
S00116085,85,28,13,15,8,21
S00116086,74,43,11,7,4,9
S00116087,72,46,8,10,4,4
S00116088,48,20,14,8,4,2
S00116089,71,50,13,3,2,3
S00116090,105,58,25,10,6,6
S00116091,70,36,17,8,1,8
S00116092,66,28,24,4,4,6
S00116093,148,97,25,10,7,9
S00116094,124,58,30,11,15,10
S00116095,94,48,20,14,5,7
S00116096,99,49,25,10,5,10
S00116097,50,13,20,6,4,7
S00116098,76,33,21,10,6,6
S00116099,106,45,23,20,13,5
S00116100,75,48,14,5,6,2
S00116101,60,32,16,2,4,6
S00116102,85,40,21,16,6,2
S00116103,73,38,13,9,5,8
S00116104,87,47,19,9,6,6
S00116105,109,57,31,9,3,9
S00116106,67,38,10,11,3,5
S00116107,57,32,14,6,0,5
S00116108,80,40,24,7,5,4
S00116109,107,64,23,7,3,10
S00116110,116,13,27,17,12,47
S00116111,74,9,14,11,11,29
S00116112,125,14,29,18,15,49
S00116113,77,13,17,14,8,25
S00116114,81,13,16,12,11,29
S00116115,136,23,31,23,17,42
S00116116,145,19,34,14,20,58
S00116117,151,28,37,30,18,38
S00116118,52,11,9,6,4,22
S00116119,60,10,12,9,7,22
S00116120,56,23,20,7,2,4
S00116121,80,27,30,13,7,3
S00116122,51,19,21,7,1,3
S00116123,72,37,21,6,5,3
S00116124,97,57,22,10,8,0
S00116125,60,34,5,5,2,14
S00116126,85,44,16,7,9,9
S00116127,52,24,14,7,3,4
S00116128,61,30,14,10,5,2
S00116129,59,14,21,15,5,4
S00116130,50,35,9,3,2,1
S00116131,95,51,22,9,7,6
S00116132,88,48,21,6,5,8
S00116133,62,32,18,6,5,1
S00116134,65,28,16,8,5,8
S00116135,68,38,17,4,4,5
S00116136,54,26,18,3,1,6
S00116137,132,65,31,15,14,7
S00116138,100,60,23,3,8,6
S00116139,51,6,8,8,7,22
S00116140,77,7,12,6,14,38
S00116141,125,14,11,16,21,63
S00116142,100,4,18,13,16,49
S00116143,90,63,13,6,1,7
S00116144,63,38,13,5,5,2
S00116145,72,33,16,4,1,18
S00116146,59,21,20,3,1,14
S00116147,78,48,12,0,10,8
S00116148,68,35,16,2,5,10
S00116149,50,31,12,1,3,3
S00116150,75,52,17,3,1,2
S00116151,98,60,15,7,7,9
S00116152,57,32,8,8,6,3
S00116153,48,30,7,3,3,5
S00116154,141,75,39,9,7,11
S00116155,61,36,12,5,3,5
S00116156,76,36,22,4,8,6
S00116157,89,42,23,9,8,7
S00116158,89,49,22,7,5,6
S00116159,63,29,11,3,8,12
S00116160,82,45,23,5,5,4
S00116161,157,60,35,11,18,33
S00116162,78,2,14,10,12,40
S00116163,72,12,15,6,4,35
S00116164,60,1,6,9,2,42
S00116165,72,8,13,10,7,34
S00116166,81,3,4,11,3,60
S00116167,50,11,4,4,9,22
S00116168,53,5,5,10,3,30
S00116169,57,2,6,1,8,40
S00116170,57,7,2,5,3,40
S00116171,95,57,20,3,5,10
S00116172,121,45,35,16,12,13
S00116173,88,50,20,4,8,6
S00116174,99,49,22,9,8,11
S00116175,76,13,20,4,18,21
S00116176,69,40,17,6,3,3
S00116177,57,36,14,2,2,3
S00116178,87,57,16,3,4,7
S00116179,53,19,17,4,3,10
S00116180,126,14,27,18,8,59
S00116181,156,27,21,16,8,84
S00116182,139,21,38,20,12,48
S00116183,96,17,25,15,13,26
S00116184,97,24,24,19,14,16
S00116185,118,23,29,16,14,36
S00116186,93,19,21,12,12,29
S00116187,208,30,45,21,28,84
S00116188,118,22,29,18,12,37
S00116189,50,26,7,5,3,9
S00116190,46,18,2,6,8,12
S00116191,39,22,7,4,5,1
S00116192,75,36,13,3,9,14
S00116193,94,38,22,5,10,19
S00116194,55,33,13,0,4,5
S00116195,126,13,26,9,19,59
S00116196,60,7,5,7,8,33
S00116197,57,7,10,6,9,25
S00116198,82,5,18,7,13,39
S00116199,57,44,7,1,2,3
S00116200,73,5,8,14,10,36
S00116201,107,48,27,10,13,9
S00116202,117,18,13,12,19,55
S00116203,86,6,25,8,11,36
S00116204,78,1,8,10,17,42
S00116205,50,5,6,6,7,26
S00116206,88,10,13,17,17,31
S00116207,72,14,12,8,14,24
S00116208,60,36,8,0,6,10
S00116209,76,38,23,8,2,5
S00116210,75,38,19,6,6,6
S00116211,47,9,9,10,3,16
S00116212,128,52,17,15,9,35
S00116213,112,3,8,13,6,82
S00116214,54,10,5,6,7,26
S00116215,62,6,4,9,0,43
S00116216,62,13,10,12,6,21
S00116217,71,29,28,4,7,3
S00116218,102,33,31,16,6,16
S00116219,51,7,8,9,2,25
S00116220,62,43,9,4,3,3
S00116221,72,34,23,7,6,2
S00116222,76,44,13,5,6,8
S00116223,119,25,41,17,10,26
S00116224,136,39,45,21,11,20
S00116225,62,40,12,8,1,1
S00116226,73,41,17,7,5,3
S00116227,67,1,2,12,7,45
S00116228,69,46,11,7,0,5
S00116229,42,27,8,1,5,1
S00116230,52,34,7,5,3,3
S00116231,78,38,22,6,4,8
S00116232,97,72,14,3,5,3
S00116233,48,20,11,9,4,4
S00116234,125,71,32,9,7,6
S00116235,122,59,37,10,8,8
S00116236,90,56,19,7,4,4
S00116237,47,26,13,2,2,4
S00116238,87,51,17,7,7,5
S00116239,64,32,22,4,3,3
S00116240,121,44,41,10,10,16
S00116241,56,22,17,4,5,8
S00116242,125,70,28,9,13,5
S00116243,68,28,20,3,4,13
S00116244,82,17,28,16,14,7
S00116245,70,29,18,8,2,13
S00116246,75,36,22,7,3,7
S00116247,153,33,29,23,22,46
S00116248,59,11,14,13,14,7
S00116249,60,25,12,5,5,13
S00116250,41,25,10,3,1,2
S00116251,57,17,21,5,6,8
S00116252,116,56,13,7,14,26
S00116253,144,13,19,20,8,84
S00116254,103,30,21,12,14,26
S00116255,56,9,14,14,10,9
S00116256,99,34,22,10,11,22
S00116257,42,17,10,5,5,5
S00116258,91,38,16,9,7,21
S00116259,111,73,28,3,4,3
S00116260,84,34,28,4,6,12
S00116261,62,17,20,3,8,14
S00116262,48,21,16,5,2,4
S00116263,105,27,27,14,18,19
S00116264,70,28,13,13,8,8
S00116265,119,58,29,14,11,7
S00116266,57,22,18,9,6,2
S00116267,99,32,26,10,12,19
S00116268,87,42,17,10,8,10
S00116269,41,17,8,4,4,8
S00116270,44,10,11,4,9,10
S00116271,42,8,18,4,5,7
S00116272,80,18,31,12,12,7
S00116273,83,32,20,7,13,11
S00116274,49,14,8,5,10,12
S00116275,65,21,18,13,6,7
S00116276,86,38,11,13,5,19
S00116277,120,37,20,17,18,28
S00116278,67,6,2,14,4,41
S00116279,69,20,27,7,6,9
S00116280,74,44,9,7,4,10
S00116281,57,5,6,11,4,31
S00116282,68,28,25,8,5,2
S00116283,79,48,18,0,9,4
S00116284,78,10,15,10,4,39
S00116285,41,17,14,2,1,7
S00116286,96,54,22,11,4,5
S00116287,75,38,20,5,7,5
S00116288,73,34,20,8,6,5
S00116289,72,32,21,12,3,4
S00116290,81,38,19,14,3,7
S00116291,103,52,23,11,10,7
S00116292,90,54,20,4,8,4
S00116293,91,55,21,2,11,2
S00116294,114,61,31,6,8,8
S00116295,48,15,14,5,6,8
S00116296,94,4,4,34,4,48
S00116297,99,4,5,16,10,64
S00116298,55,1,4,15,0,35
S00116299,74,1,9,10,9,45
S00116300,97,2,11,10,14,60
S00116301,70,15,25,11,6,13
S00116302,99,21,33,16,13,16
S00116303,56,8,13,3,9,23
S00116304,129,31,25,24,23,26
S00116305,76,31,10,9,9,17
S00116306,87,26,32,12,6,11
S00116307,67,10,19,15,7,16
S00116308,87,42,21,7,11,6
S00116309,96,43,25,14,7,7
S00116310,124,71,37,8,4,4
S00116311,55,5,14,11,4,21
S00116312,100,29,27,9,12,23
S00116313,80,17,17,14,9,23
S00116314,97,21,30,14,11,21
S00116315,142,17,33,23,16,53
S00116316,56,4,9,8,8,27
S00116317,156,28,31,23,23,51
S00116318,139,19,32,28,21,39
S00116319,197,101,43,15,13,25
S00116320,83,15,8,15,10,35
S00116321,38,3,7,2,4,22
S00116322,112,13,25,12,16,46
S00116323,102,15,19,20,11,37
S00116324,195,22,44,39,20,70
S00116325,53,9,8,4,8,24
S00116326,93,21,29,12,10,21
S00116327,172,33,24,31,20,64
S00116328,100,37,17,16,13,17
S00116329,102,57,8,15,7,15
S00116330,132,33,36,16,15,32
S00116331,94,17,27,14,13,23
S00116332,95,21,20,17,15,22
S00116333,60,20,17,8,6,9
S00116334,108,21,28,17,13,29
S00116335,144,21,49,39,10,25
S00116336,112,19,31,23,16,23
S00116337,51,20,9,6,8,8
S00116338,64,35,15,4,2,8
S00116339,93,30,20,16,11,16
S00116340,58,22,14,6,6,10
S00116341,140,44,34,23,15,24
S00116342,95,43,13,14,5,20
S00116343,54,18,16,7,4,9
S00116344,79,2,7,46,6,18
S00116345,91,5,8,21,10,47
S00116346,56,18,8,3,7,20
S00116347,72,0,3,24,7,38
S00116348,95,1,8,35,7,44
S00116349,885,14,97,270,66,438
S00116350,114,3,3,31,13,64
S00116351,108,4,14,6,9,75
S00116352,87,11,5,26,2,43
S00116353,53,4,3,14,6,26
S00116354,72,2,2,25,5,38
S00116355,63,6,8,4,6,39
S00116356,48,2,2,5,5,34
S00116357,54,7,2,10,4,31
S00116358,73,6,13,7,1,46
S00116359,49,4,6,5,6,28
S00116360,77,4,5,12,5,51
S00116361,56,16,5,7,5,23
S00116362,55,18,8,16,4,9
S00116363,67,1,3,17,4,42
S00116364,91,7,13,16,9,46
S00116365,96,15,12,19,10,40
S00116366,76,3,7,7,9,50
S00116367,97,4,15,14,15,49
S00116368,57,0,8,12,3,34
S00116369,100,4,7,18,9,62
S00116370,87,8,15,11,13,40
S00116371,83,2,8,10,5,58
S00116372,82,23,22,10,8,19
S00116373,116,22,11,14,13,56
S00116374,124,15,8,21,13,67
S00116375,132,22,17,19,8,66
S00116376,104,12,15,15,9,53
S00116377,189,10,16,96,12,55
S00116378,74,2,11,25,10,26
S00116379,79,34,15,10,11,9
S00116380,76,1,5,20,9,41
S00116381,108,2,4,28,12,62
S00116382,97,13,11,20,10,43
S00116383,64,2,8,16,6,32
S00116384,75,5,7,17,4,42
S00116385,101,5,8,24,11,53
S00116386,58,1,5,15,5,32
S00116387,55,23,14,7,4,7
S00116388,155,6,9,50,10,80
S00116389,96,2,12,15,8,59
S00116390,74,2,1,17,9,45
S00116391,70,8,12,13,12,25
S00116392,107,31,11,21,8,36
S00116393,86,0,7,32,6,41
S00116394,128,33,8,26,14,47
S00116395,91,2,2,23,10,54
S00116396,74,34,13,2,9,16
S00116397,89,42,18,7,3,19
S00116398,97,43,16,9,13,16
S00116399,100,44,26,5,7,18
S00116400,62,29,13,2,9,9
S00116401,87,4,8,12,10,53
S00116402,66,11,8,19,7,21
S00116403,76,14,13,9,7,33
S00116404,51,8,8,13,6,16
S00116405,64,35,10,4,4,11
S00116406,67,33,17,4,4,9
S00116407,93,6,7,10,5,65
S00116408,66,5,7,6,9,39
S00116409,81,4,10,11,4,52
S00116410,69,4,7,10,10,38
S00116411,60,25,18,3,4,10
S00116412,58,16,14,4,7,17
S00116413,67,32,13,5,5,12
S00116414,69,25,16,13,9,6
S00116415,52,30,7,7,2,6
S00116416,54,36,7,4,3,4
S00116417,82,34,19,5,10,14
S00116418,77,41,17,5,10,4
S00116419,57,9,12,8,10,18
S00116420,96,8,16,15,8,49
S00116421,143,5,9,35,6,88
S00116422,75,27,21,0,6,21
S00116423,91,43,18,5,16,9
S00116424,71,29,17,12,4,9
S00116425,101,48,24,6,8,15
S00116426,66,31,20,4,4,7
S00116427,85,37,15,7,10,16
S00116428,77,43,16,1,10,7
S00116429,74,41,16,6,5,6
S00116430,62,29,20,6,2,5
S00116431,58,26,19,2,1,10
S00116432,81,47,14,11,6,3
S00116433,70,33,24,1,8,4
S00116434,70,4,15,9,8,34
S00116435,80,9,12,14,9,36
S00116436,70,33,16,4,5,12
S00116437,59,21,6,6,8,18
S00116438,78,32,15,5,7,19
S00116439,63,19,10,9,4,21
S00116440,76,26,20,7,7,16
S00116441,78,26,16,6,13,17
S00116442,51,28,6,4,8,5
S00116443,101,52,22,6,6,15
S00116444,83,37,21,10,5,10
S00116445,86,43,22,4,5,12
S00116446,80,37,8,3,10,22
S00116447,68,27,17,1,5,18
S00116448,76,26,14,5,12,19
S00116449,36,16,7,1,4,8
S00116450,48,31,7,1,3,6
S00116451,60,35,11,2,4,8
S00116452,60,38,10,2,3,7
S00116453,60,40,15,3,1,1
S00116454,56,34,16,1,4,1
S00116455,63,50,4,1,4,4
S00116456,56,43,7,3,0,3
S00116457,81,58,11,3,3,6
S00116458,55,35,9,3,1,7
S00116459,68,22,19,9,7,11
S00116460,78,31,13,2,15,17
S00116461,69,34,18,7,2,8
S00116462,59,22,7,4,8,18
S00116463,53,33,7,3,2,8
S00116464,50,22,11,1,6,10
S00116465,86,44,23,6,5,8
S00116466,63,36,18,4,3,2
S00116467,75,54,12,4,3,2
S00116468,50,29,9,6,0,6
S00116469,57,28,14,3,5,7
S00116470,103,62,19,8,7,7
S00116471,62,30,17,7,6,2
S00116472,52,29,15,2,4,2
S00116473,58,31,17,4,3,3
S00116474,70,27,25,5,5,8
S00116475,64,28,20,9,3,4
S00116476,53,32,8,5,6,2
S00116477,55,29,18,3,3,2
S00116478,57,30,14,6,4,3
S00116479,67,34,15,4,7,7
S00116480,76,41,14,3,8,10
S00116481,83,4,8,13,15,43
S00116482,61,9,5,9,10,28
S00116483,102,14,7,14,5,62
S00116484,132,24,6,17,13,72
S00116485,75,25,14,25,3,8
S00116486,62,35,7,4,4,12
S00116487,49,32,8,0,3,6
S00116488,49,34,10,2,0,3
S00116489,69,35,17,10,2,5
S00116490,72,34,15,8,7,8
S00116491,80,45,11,7,6,11
S00116492,93,51,17,9,5,11
S00116493,71,33,16,2,6,14
S00116494,78,37,18,8,3,12
S00116495,71,45,16,4,2,4
S00116496,68,37,14,3,9,5
S00116497,80,39,22,6,6,7
S00116498,67,31,16,5,4,11
S00116499,70,21,19,6,11,13
S00116500,104,34,22,16,14,18
S00116501,77,20,17,11,4,25
S00116502,106,36,33,11,7,19
S00116503,66,20,25,6,5,10
S00116504,71,33,26,3,4,5
S00116505,75,35,17,12,5,6
S00116506,84,36,26,5,5,12
S00116507,86,32,26,11,13,4
S00116508,51,27,16,1,2,5
S00116509,50,29,13,8,0,0
S00116510,85,34,26,14,7,4
S00116511,52,33,8,4,2,5
S00116512,44,26,6,5,4,3
S00116513,64,13,4,9,5,33
S00116514,77,12,10,14,12,29
S00116515,93,39,27,8,8,11
S00116516,59,25,13,6,9,6
S00116517,63,29,8,8,7,11
S00116518,57,29,11,3,5,9
S00116519,104,6,5,14,4,75
S00116520,93,19,8,12,12,42
S00116521,78,12,6,6,12,42
S00116522,82,8,12,6,9,47
S00116523,69,45,11,4,4,5
S00116524,47,14,18,6,0,9
S00116525,77,61,9,1,2,4
S00116526,73,50,8,5,0,10
S00116527,71,30,14,8,6,13
S00116528,62,25,11,11,6,9
S00116529,84,27,21,5,15,16
S00116530,90,29,22,5,12,22
S00116531,75,9,18,15,8,25
S00116532,68,23,19,3,10,13
S00116533,74,34,22,8,4,6
S00116534,54,26,7,9,9,3
